区分１,区分２,特別区,多摩地区
消火栓,,88729,44930
貯水槽,４０ｍ３以上,21060,11560
貯水槽,４０ｍ３未満,670,420
貯水槽,計,21730,11980
貯水池,４０ｍ３以上,76,152
貯水池,４０ｍ３未満,12,39
貯水池,計,88,191
受水槽,,1967,740
プール,,1571,923
河川・溝,,1835,724
海,,435,-
池・濠,,204,163
その他,,9,2
合計,,116568,59653
