指定河川,区間１,区間２,基準地点
神田川,左岸,三鷹市井の頭３丁目３２２番地先から隅田川合流点まで,番屋橋／和田見橋／南小滝橋／飯田橋
神田川,右岸,三鷹市井の頭３丁目３２２番地先から隅田川合流点まで,番屋橋／和田見橋／南小滝橋／飯田橋
目黒川,左岸,目黒区大橋１丁目１０番地先から海まで,青葉台／荏原調節池上
目黒川,右岸,目黒区東山３丁目１番地先から海まで,青葉台／荏原調節池上
渋谷川・古川,左岸,渋谷区渋谷３丁目１８番地先から海まで,渋谷橋／四ノ橋
渋谷川・古川,右岸,渋谷区渋谷３丁目２０番地先から海まで,渋谷橋／四ノ橋
野川・仙川,左岸,小金井市貫井南町４丁目２５番地先から多摩川合流点まで,大沢池上／鎌田橋野川
野川・仙川,右岸,小金井市貫井南町４丁目２４番地先から多摩川合流点まで,大沢池上／鎌田橋野川
野川・仙川,左岸,三鷹市新川６丁目２６番地先から野川合流点まで,鎌田橋仙川
野川・仙川,右岸,三鷹市新川６丁目２８番地先から野川合流点まで,鎌田橋仙川
芝川・新芝川,左岸,埼玉県さいたま市緑区大間木地先八丁橋下流から新芝川を経て荒川合流点まで,青木水門
芝川・新芝川,右岸,埼玉県さいたま市緑区大間木地先八丁橋下流から新芝川を経て荒川合流点まで,青木水門
