区分１,区分２,区分３,公道合計延長（ｍ）,公道合計面積（ｍ２）,公道合計東京都管理道路延長（ｍ）,公道合計東京都管理道路面積（ｍ２）,公道合計東京都管理道路一般国道（指定区間外）延長（ｍ）,公道合計東京都管理道路一般国道（指定区間外）面積（ｍ２）,公道合計区市町村道延長（ｍ）,公道合計区市町村道面積（ｍ２）
区部,舗装道,コンクリート舗装,79473,3097529,9556,1542372,,28228,69917,1555157
区部,舗装道,高級瀝青舗装,8449535,59178543,861836,12998148,18031,301593,7587699,46180395
区部,舗装道,ブロック舗装,129990,4494055,,836023,,8994,129990,3658032
区部,舗装道,コンクリート平板舗装,28320,1708463,,632647,,22514,28320,1075816
区部,舗装道,簡易舗装,2795040,19731863,23414,3354421,,65743,2771626,16377442
区部,砂利道,,14332,46844,,,,,14332,46844
区部,その他,,1597,2433985,,1992611,,28148,1597,441374
区部,計,,11498287,90691282,894806,21356222,18031,455220,10603481,69335060
多摩,舗装道,コンクリート舗装,162099,3696667,18675,1510475,2002,66808,143424,2186192
多摩,舗装道,高級瀝青舗装,5260156,34748101,981903,8961793,54547,407145,4278253,25786308
多摩,舗装道,ブロック舗装,44133,1566026,298,331815,,2632,43835,1234211
多摩,舗装道,コンクリート平板舗装,20486,748611,860,239944,,5850,19626,508667
多摩,舗装道,簡易舗装,3529821,21607192,53013,2703284,,63501,3476808,18903908
多摩,砂利道,,1910013,3934710,40697,152672,,398,1869316,3782038
多摩,その他,,15784,4233418,,2837940,,208251,15784,1395478
多摩,計,,10942492,70534725,1095446,16737923,56549,754585,9847046,53796802
島部,舗装道,コンクリート舗装,297928,1611684,70205,607538,,,227723,1004146
島部,舗装道,高級瀝青舗装,321986,2012186,163667,1066303,,,158319,945883
島部,舗装道,ブロック舗装,700,67425,238,63695,,,462,3730
島部,舗装道,コンクリート平板舗装,414,44024,,35548,,,414,8476
島部,舗装道,簡易舗装,174055,921748,3921,98462,,,170134,823286
島部,砂利道,,683641,1445603,2232,11461,,,681409,1434142
島部,その他,,238,1019056,,922361,,,238,96695
島部,計,,1478962,7121726,240263,2805368,,,1238699,4316358
合計,舗装道,コンクリート舗装,539500,8405880,98436,3660385,2002,95036,441064,4745495
合計,舗装道,高級瀝青舗装,14031677,95938830,2007406,23026244,72578,708738,12024271,72912586
合計,舗装道,ブロック舗装,174823,6127506,536,1231533,,11626,174287,4895973
合計,舗装道,コンクリート平板舗装,49220,2501098,860,908139,,28364,48360,1592959
合計,舗装道,簡易舗装,6498916,42260803,80348,6156167,,129244,6418568,36104636
合計,砂利道,,2607986,5427157,42929,164133,,398,2565057,5263024
合計,その他,,17619,7686459,,5752912,,236399,17619,1933547
合計,計,,23919741,168347733,2230515,40899513,74580,1209805,21689226,127448220
