種別,箇所数,１次／２次／３次,施設名称,所在地,区市町村
（１）備蓄倉庫（直営倉庫）,10,3,毛利倉庫,江東区毛利２－１－１２,江東
（１）備蓄倉庫（直営倉庫）,※,3,塩浜倉庫,江東区塩浜２－２６－１３,江東
（１）備蓄倉庫（直営倉庫）,※,3,北鳥山倉庫,世田谷区北鳥山７－１,世田谷
（１）備蓄倉庫（直営倉庫）,※,3,船橋倉庫,世田谷区船橋４－４１－１７,世田谷
（１）備蓄倉庫（直営倉庫）,※,3,白鬚東倉庫,墨田区堤通２－８－１３、１４,墨田
（１）備蓄倉庫（直営倉庫）,※,3,城南大橋第二倉庫,大田区東海３－４－２,大田
（１）備蓄倉庫（直営倉庫）,※,3,西新小岩倉庫,葛飾区西新小岩２－１,葛飾
（１）備蓄倉庫（直営倉庫）,※,3,南千住倉庫,荒川区南千住６－４５－４１,荒川
（１）備蓄倉庫（直営倉庫）,※,3,麻布十番駅地下倉庫,港区麻布十番１－２－１０番地先,港
（１）備蓄倉庫（直営倉庫）,※,3,清澄白河駅地下倉庫,江東区清澄３,江東
（２）備蓄倉庫（兼用倉庫）／（島しょの４支庁分を除く。）,7,,※都庁第二庁舎,新宿区西新宿２－８－１,新宿
（２）備蓄倉庫（兼用倉庫）／（島しょの４支庁分を除く。）,※,,※立川地域防災センター,立川市緑町３２３３,立川
（２）備蓄倉庫（兼用倉庫）／（島しょの４支庁分を除く。）,※,,※葛飾区役所,葛飾区立石５－１３－１,葛飾
（２）備蓄倉庫（兼用倉庫）／（島しょの４支庁分を除く。）,※,3,五色橋倉庫,港区港南３－１,港
（２）備蓄倉庫（兼用倉庫）／（島しょの４支庁分を除く。）,※,3,テレコムセンター倉庫,江東区青海２－３８,江東
（２）備蓄倉庫（兼用倉庫）／（島しょの４支庁分を除く。）,※,3,江戸川区中央倉庫（区役所本庁舎備蓄倉庫）,江戸川区中央１－４－１,江戸川
（２）備蓄倉庫（兼用倉庫）／（島しょの４支庁分を除く。）,※,3,西多摩福祉事務所倉庫,青梅市河辺町６－４－１,青梅
