地震,区分,地震時の斜面崩壊危険度ランクＣ,地震時の斜面崩壊危険度ランクＢ,地震時の斜面崩壊危険度ランクＡ,計
南海トラフ巨大,急傾斜地崩壊危険箇所,184,40,2,226
地震（Ｍ９．０）,山腹崩壊危険地区,48,22,2,72
東側ケース,計,232,62,4,298
南海トラフ巨大,急傾斜地崩壊危険箇所,145,52,29,226
地震（Ｍ９．０）,山腹崩壊危険地区,34,19,19,72
東側＋経験的,計,179,71,48,298
