事業名１,事業名２,事業名３,局名,事業の概要,２０１６（２８）主な取組,２０１６（２８）事業費（百万円）,２０１７（２９）主な取組,２０１７（２９）事業費（百万円）
地域で意欲的な防災活動を行う団体を「東京防災隣組」として認定し、その取組を広く発信していきます,,,,,,69,,137
23,２－２０,地域防災力の向上,総務局,区市町村と連携して、地域で防災活動に取り組む自主防災組織の人材育成や活動を支援し、地域における災害対応力を向上させる。,・第六回認定の実施／・リーダー研修会の実施／・「東京防災」学習セミナーの実施／・地域防災活性化シンポジウムの実施,69,・自主防災組織活動支援事業の実施／・東京防災学習セミナーの実施／・リーダー研修会の実施／・自主防災組織活性化サポートガイドの作成・活用／・女性防災人材育成事業,137
