区分１,区分２,橋数（橋）,橋長（ｍ）,橋面積（ｍ２）,橋齢別現況１５年未満,橋齢別現況１５～２５年,橋齢別現況２５年以上
鋼橋,１５ｍ未満,81,766,9011,2,2,77
鋼橋,１５～３０ｍ未満,114,2481,16589,10,13,91
鋼橋,３０～１００ｍ未満,172,9079,145818,22,23,127
鋼橋,１００ｍ以上,142,36093,543532,21,13,108
鋼橋,計,509,48419,714950,55,51,403
コンクリート橋,１５ｍ未満,498,3290,48958,13,47,438
コンクリート橋,１５～３０ｍ未満,103,2417,43875,26,15,62
コンクリート橋,３０～１００ｍ未満,65,3691,60518,11,6,48
コンクリート橋,１００ｍ以上,24,5725,93793,3,4,17
コンクリート橋,計,690,15123,247144,53,72,565
鋼橋トコンクリート橋の混合橋,１５ｍ未満,6,43,631,0,0,6
鋼橋トコンクリート橋の混合橋,１５～３０ｍ未満,10,230,15479,0,0,10
鋼橋トコンクリート橋の混合橋,３０～１００ｍ未満,13,859,14896,1,0,12
鋼橋トコンクリート橋の混合橋,１００ｍ以上,33,10747,167070,7,13,13
鋼橋トコンクリート橋の混合橋,計,62,11879,198076,8,13,41
石橋,１５ｍ未満,-,-,-,-,-,-
石橋,１５～３０ｍ未満,-,-,-,-,-,-
石橋,３０～１００ｍ未満,-,-,-,-,-,-
石橋,１００ｍ以上,-,-,-,-,-,-
石橋,計,-,-,-,-,-,-
合計,１５ｍ未満,585,4099,58600,15,49,521
合計,１５～３０ｍ未満,227,5128,75943,36,28,163
合計,３０～１００ｍ未満,250,13629,221232,34,29,187
合計,１００ｍ以上,199,52565,804395,31,30,138
合計,計,1261,75421,1160170,116,136,1009
横断歩道橋,,622,34922,69491,15,14,593
人道橋,,91,3050,5833,13,25,53
