施設名,開設期間,最大受入数（人）,最大受入数
東京武道館,3月17日～4月24日,282,42824
味の素スタジアム（調布庁舎）,3月17日～5月22日,181,42824
東京ビッグサイト,3月22日～4月24日,150,42824
グランドプリンスホテル赤坂,4月9日～6月30日,788,42866
