耐震強化岸壁,現況（２６年４月１日）（バース）,現況（２６年４月１日）（ｍ）,全体計画（バース）,全体計画（ｍ）
緊急物資輸送対応施設,13,2040,26,4920
国際海上コンテナターミナ,3,990,5,1790
