区市町村,夜間人口（人）,昼間人口（人）,面積（ｋｍ２）,震度別面積率（％）５弱以下,震度別面積率（％）５強,震度別面積率（％）６弱,震度別面積率（％）６強,震度別面積率（％）７,建物棟数木造,建物棟数非木造,原因別建物全壊棟数計,原因別建物全壊棟数ゆれ,原因別建物全壊棟数液状化,原因別建物全壊棟数急傾斜地崩壊,ゆれ建物全壊棟数木造,ゆれ建物全壊棟数非木造,ゆれ建物全壊率（％）木造,ゆれ建物全壊率（％）非木造,急傾斜地崩壊危険箇所,火災出火件数,火災焼失棟数倒壊建物を含む,火災焼失棟数倒壊建物を含まない,人的被害死者計（人）,人的被害死者ゆれ・液状化建物被害（人）,人的被害死者急傾斜地崩壊（人）,人的被害死者火災（人）,人的被害死者ブロック塀等（人）,人的被害死者屋外落下物（人）,人的被害死者屋内収容物（参考値）（人）,人的被害負傷者計（人）,人的被害負傷者ゆれ・液状化建物被害（人）,人的被害負傷者急傾斜地崩壊（人）,人的被害負傷者火災（人）,人的被害負傷者ブロック塀等（人）,人的被害負傷者屋外落下物（人）,人的被害負傷者屋内収容物（参考値）（人）,人的被害負傷者うち重傷者計（人）,人的被害負傷者うち重傷者ゆれ・液状化建物被害（人）,人的被害負傷者うち重傷者急傾斜地崩壊（人）,人的被害負傷者うち重傷者火災（人）,人的被害負傷者うち重傷者ブロック塀等（人）,人的被害負傷者うち重傷者屋外落下物（人）,人的被害負傷者うち重傷者屋内収容物（参考値）（人）,避難者発生数（人）,帰宅困難者滞留者数（人）,帰宅困難者帰宅困難者数（人）,閉じ込めにつながり得るエレベーター停止台数,災害時要援護者死者数（人）,自力脱出困難者発生数（人）,震災廃棄物（万ｔ）,区市町村２
千代田区,47115,853382,11.6,0.0,0.0,75.7,24.3,0.0,3629,15380,231,222,4,5,117,105,3.2,0.7,17,4,0,0,71,70,1,0,0,0,5,4498,4489,1,5,1,3,262,370,367,0,1,0,0,57,7446,1080758,501355,351,2,975,25,千
中央区,122762,647733,10.2,0.0,0.0,74.0,26.0,0.0,6210,12760,662,649,13,0,496,153,8.0,1.2,0,9,2,2,51,50,0,1,0,0,3,3549,3528,0,11,6,5,168,339,333,0,3,2,0,37,35066,687953,309315,350,5,1263,44,中
港区,205131,908940,20.3,0.0,0.0,62.4,37.6,0.0,13050,21979,1097,1005,7,85,722,282,5.5,1.3,118,17,13,12,99,86,10,1,1,0,8,5816,5743,13,22,34,4,269,583,556,6,6,13,0,59,39090,1052177,468794,546,10,1902,71,港
新宿区,326309,770094,18.2,0.0,0.0,96.0,4.0,0.0,36731,29507,1290,1225,3,63,1019,205,2.8,0.7,46,8,97,95,85,75,6,3,1,0,7,3535,3484,7,12,29,2,192,288,269,4,3,11,0,42,41072,754164,313811,300,20,882,66,新
文京区,206626,336229,11.3,0.0,0.0,99.5,0.5,0.0,27454,19692,649,603,4,42,521,81,1.9,0.4,48,4,73,73,39,31,3,2,2,0,3,1511,1414,4,6,83,4,82,121,84,2,2,32,0,18,25687,336926,131632,134,13,279,37,文
台東区,175928,303522,10.1,0.0,0.0,75.1,24.9,0.0,22814,22088,2300,2274,20,6,2040,234,8.9,1.1,4,10,90,86,147,142,0,3,2,0,2,2777,2699,1,12,56,9,71,301,274,0,3,22,1,16,47314,292785,112757,261,56,1021,84,台
墨田区,247606,262514,13.8,0.0,0.0,67.1,32.9,0.0,34427,23443,2761,2715,46,0,2443,272,7.1,1.2,0,12,458,437,140,130,0,10,0,0,3,3111,3075,0,21,13,2,67,302,291,0,6,5,0,15,81142,242306,79083,167,68,1020,109,墨
江東区,460819,490708,39.5,0.0,0.0,59.7,40.3,0.0,27895,24091,2702,2639,64,0,2300,339,8.2,1.4,0,24,985,935,149,124,0,23,2,0,11,5099,4956,0,72,64,7,270,541,495,0,20,25,1,59,159745,509466,178078,261,68,2023,136,江
品川区,365302,505034,22.7,0.0,0.0,75.7,24.3,0.0,51286,25015,1836,1782,8,45,1606,177,3.1,0.7,43,10,1010,986,116,86,4,25,1,0,5,3177,3085,5,67,19,1,133,271,242,3,19,7,0,29,64030,480501,179084,185,43,838,75,品
目黒区,268330,271320,14.7,0.0,0.0,97.9,2.1,0.0,40796,23689,919,894,5,19,777,117,1.9,0.5,20,5,751,741,55,35,1,16,3,0,3,1308,1187,2,29,88,2,68,127,84,1,8,34,0,15,41249,241932,78206,87,25,290,47,目
大田区,693373,657209,59.5,0.0,0.0,84.8,15.2,0.0,99142,45038,3063,2882,134,47,2585,298,2.6,0.7,70,16,1834,1797,155,113,3,37,2,0,7,3666,3462,4,134,64,3,166,328,264,2,37,25,0,36,167065,556136,166426,197,88,1021,181,大
世田谷区,877138,736040,58.1,0.0,0.0,78.4,21.6,0.0,129338,56307,3573,3524,6,44,3107,417,2.4,0.7,57,27,3266,3204,212,127,3,60,21,0,8,4554,3536,3,248,736,31,174,646,285,2,69,287,3,38,145473,601311,168047,190,137,1076,150,世
渋谷区,204492,542803,15.1,0.0,0.0,93.3,6.7,0.0,19674,19101,828,815,2,10,652,163,3.3,0.9,12,6,123,120,53,46,1,4,2,0,5,2350,2247,1,11,85,6,139,208,171,1,3,33,1,30,30187,529282,222342,251,10,715,48,渋
中野区,314750,285636,15.6,0.0,0.0,99.6,0.4,0.0,51464,20821,1080,1068,2,10,971,98,1.9,0.5,14,6,674,664,53,38,1,13,1,0,3,1380,1321,1,20,37,1,64,104,84,0,5,14,0,14,42219,213227,58123,72,31,302,48,中
杉並区,549569,439379,34.0,0.0,0.0,98.2,1.8,0.0,92388,30825,2036,2033,2,1,1849,184,2.0,0.6,2,11,4169,4100,155,73,0,76,6,0,5,2666,2142,0,309,208,7,108,315,147,0,86,81,1,24,104701,358016,92357,108,101,579,89,杉
豊島区,284678,378475,13.0,0.0,0.0,97.5,2.5,0.0,37098,19923,1214,1209,3,3,1091,118,2.9,0.6,12,6,747,731,83,62,0,18,3,0,4,2263,2123,0,33,100,6,96,197,148,0,9,39,1,21,43597,374171,140005,165,33,556,52,豊
北区,335544,307317,20.6,0.0,0.0,89.4,10.6,0.0,50151,22372,1786,1657,25,104,1528,128,3.0,0.6,58,9,312,304,79,65,7,6,1,0,3,2090,2030,8,14,36,2,73,172,150,4,4,14,0,16,58139,247350,69466,87,59,541,77,北
荒川区,203296,184021,10.2,0.0,0.0,38.4,61.6,0.0,26888,11633,2746,2717,26,4,2551,166,9.5,1.4,5,14,534,497,131,119,0,11,1,0,2,2346,2286,0,22,34,4,42,249,229,0,6,13,0,9,65792,144651,39287,84,93,997,80,荒
板橋区,535824,456425,32.2,0.0,0.0,99.8,0.2,0.0,65083,29528,1278,1223,11,44,1092,131,1.7,0.4,54,9,726,716,66,45,3,14,4,0,5,2295,2119,3,26,141,5,113,184,119,2,7,55,1,25,70097,377648,104123,114,46,467,70,板
練馬区,716124,530628,48.2,0.0,0.0,98.3,1.7,0.0,114320,32078,2611,2601,7,3,2393,208,2.1,0.6,12,12,3022,2968,170,97,0,56,16,0,6,3699,2893,0,218,568,20,137,493,208,0,61,222,2,30,118245,417116,98294,101,118,822,101,練
足立区,683426,539309,53.2,0.0,0.0,90.7,9.3,0.0,104482,38845,4397,4274,124,0,3952,321,3.8,0.8,0,18,2229,2163,217,172,0,43,2,0,6,4859,4612,0,163,78,5,136,449,372,0,46,31,1,30,187884,430379,107115,113,162,1391,197,足
葛飾区,442586,343039,34.8,0.0,0.0,95.1,4.8,0.0,78991,27793,2500,2368,132,0,2185,183,2.8,0.7,0,11,933,912,114,95,0,18,2,0,4,2530,2426,0,45,56,3,92,217,183,0,13,22,0,20,123639,292473,70560,69,77,691,141,葛
江戸川区,678967,534942,49.9,0.0,3.9,73.3,22.8,0.0,87962,33956,2633,2508,125,0,2283,226,2.6,0.7,0,22,1432,1402,124,94,0,27,2,0,6,3163,2982,0,95,82,4,133,294,236,0,27,32,0,29,178365,414385,102564,127,84,936,144,江
区部計,8945695,11284699,616.7,0.0,0.3,84.5,15.2,0.0,1221273,605864,44194,42887,773,534,38280,4607,3.1,0.8,592,270,23480,22946,2562,1975,44,466,76,2,115,72242,67840,55,1593,2618,136,3060,7098,5589,28,446,1021,14,666,1877243,10635113,3790824,4321,1348,20586,2071,区
八王子市,580053,549417,186.3,0.0,39.4,20.3,40.1,0.2,118849,35966,7006,6760,8,238,6072,688,5.1,1.9,509,44,6599,6311,443,291,16,135,1,0,6,5341,4672,20,594,51,4,137,763,567,10,166,20,0,30,128646,489631,146971,195,216,2060,206,八
立川市,179668,193465,24.4,0.0,0.0,0.6,99.4,0.0,35188,11697,1457,1438,0,18,1205,233,3.4,2.0,16,18,2881,2793,126,62,1,62,1,0,4,1629,1345,2,244,36,2,92,246,163,1,68,14,0,20,40303,174410,56735,93,62,511,57,立
武蔵野市,138734,154448,10.7,0.0,0.0,86.5,13.5,0.0,21101,8163,440,440,0,0,377,62,1.8,0.8,0,4,527,519,31,18,0,11,1,0,2,773,727,0,16,30,1,40,75,58,0,4,12,0,9,31496,151201,53755,57,13,191,20,武
三鷹市,186083,148458,16.5,0.0,0.0,84.8,15.2,0.0,32764,8103,846,826,2,19,751,74,2.3,0.9,9,4,814,797,49,31,1,15,1,0,2,887,823,1,31,31,1,39,89,67,1,9,12,0,8,33065,131438,36195,39,28,259,31,三
青梅市,139339,127176,103.3,42.9,24.7,31.2,1.2,0.0,37782,7607,457,355,0,101,325,31,0.9,0.4,511,3,278,276,29,17,7,6,0,0,2,450,428,8,9,4,0,35,35,26,4,2,2,0,8,9239,112351,30734,8,14,97,21,青
府中市,255506,236133,29.3,0.0,0.0,69.5,30.5,0.0,47162,14711,1052,1032,9,11,909,123,1.9,0.8,8,10,1337,1315,72,43,1,28,1,0,3,1268,1156,1,86,23,1,62,132,99,0,24,9,0,13,42452,212025,66153,69,38,340,45,府
昭島市,112297,100508,17.3,0.0,0.0,1.1,98.1,0.8,20558,5530,1216,1210,1,5,1065,145,5.2,2.6,9,12,1707,1628,83,49,0,34,0,0,2,977,845,0,116,14,1,51,145,107,0,33,5,0,11,30836,89744,25772,10,46,423,38,昭
調布市,223593,186275,21.5,0.0,0.0,86.4,13.6,0.0,29412,8668,673,656,4,12,589,68,2.0,0.8,17,5,339,334,33,25,1,7,1,0,2,932,896,1,11,23,1,48,79,67,0,3,9,0,10,33913,162590,46407,46,20,284,28,調
町田市,426987,364091,71.6,0.0,1.1,32.2,66.7,0.0,87953,22322,3931,3797,7,128,3478,319,4.0,1.4,198,31,3443,3324,229,152,8,68,1,0,8,3200,2863,10,282,43,2,175,389,288,5,79,17,0,38,92758,319134,86680,100,133,1100,120,町
小金井市,118852,95195,11.3,0.0,0.0,32.6,67.4,0.0,22335,5024,725,723,0,2,665,57,3.0,1.1,4,9,1974,1921,64,28,0,35,1,0,2,697,552,0,126,18,1,41,94,52,0,35,7,0,9,30495,80649,22652,8,38,208,25,小
小平市,187035,160499,20.5,0.0,0.0,1.0,99.0,0.0,42481,9322,2083,2083,0,0,1885,198,4.4,2.1,0,19,4826,4632,182,86,0,95,1,0,4,1764,1316,0,398,46,3,81,298,169,0,111,18,0,18,50759,137813,38306,17,103,580,62,小
日野市,180052,154114,27.5,0.0,0.0,4.2,95.3,0.5,33122,9441,2476,2367,5,104,2074,294,6.3,3.1,72,18,1473,1391,130,92,7,29,1,0,4,1685,1524,8,100,48,3,81,249,197,4,28,19,0,18,43903,135905,38531,48,71,769,74,日
東村山市,153557,115046,17.2,0.0,0.0,4.2,95.8,0.0,31779,6245,1275,1265,2,8,1147,118,3.6,1.9,8,15,2658,2569,104,51,0,51,2,0,3,1187,908,1,198,76,3,60,190,104,0,55,30,0,13,36160,99112,23310,11,71,379,40,東
国分寺市,120650,95649,11.5,0.0,0.0,5.1,94.9,0.0,20001,4889,1110,1074,0,36,976,98,4.9,2.0,15,12,3267,3126,111,40,2,63,5,0,2,1095,675,3,252,158,7,49,212,78,1,70,61,1,11,39102,86028,23791,37,59,369,37,国
国立市,75510,71295,8.2,0.0,0.0,24.3,75.7,0.0,8768,2557,375,370,0,5,325,45,3.7,1.8,2,6,1623,1570,46,14,0,31,0,0,1,468,356,0,102,9,0,30,68,36,0,29,4,0,7,25703,61502,18218,4,25,184,16,国
福生市,59796,52442,10.2,0.0,0.0,13.1,86.9,0.0,11631,3475,429,418,0,11,369,49,3.2,1.4,9,6,488,475,28,17,1,10,0,0,1,355,330,1,15,8,0,24,41,33,0,4,3,0,5,10087,41779,10596,5,16,131,15,福
狛江市,78751,57386,6.4,0.0,0.0,99.7,0.3,0.0,10391,2668,233,233,0,0,213,20,2.0,0.8,0,1,278,273,14,8,0,5,0,0,1,289,270,0,6,12,0,14,25,19,0,2,5,0,3,12640,43071,8872,3,10,89,9,狛
東大和市,83068,64274,13.5,0.0,0.0,0.2,99.8,0.0,17689,3856,774,760,0,14,688,73,3.9,1.9,8,8,2404,2319,80,32,1,47,1,0,2,725,527,1,176,21,1,35,118,60,1,49,8,0,8,23541,59513,15194,7,48,236,27,東
清瀬市,74104,60733,10.2,0.0,0.0,90.3,9.7,0.0,13007,3111,303,299,1,2,273,26,2.1,0.8,5,2,74,73,14,13,0,1,0,0,1,353,346,0,3,4,0,16,30,27,0,1,1,0,4,11122,51898,12939,4,10,108,11,清
東久留米市,116546,90315,12.9,0.0,0.0,50.2,49.8,0.0,21922,3959,719,707,0,13,643,64,2.9,1.6,11,6,768,747,44,28,1,15,1,0,2,680,630,1,29,19,1,44,74,58,0,8,7,0,10,22450,72147,16721,6,29,233,24,東
武蔵村山市,70053,59591,15.4,0.0,0.0,40.3,59.7,0.0,16788,3785,438,435,0,2,387,49,2.3,1.3,11,6,1561,1528,48,17,0,30,0,0,1,412,310,0,98,3,0,28,58,29,0,27,1,0,6,14939,51159,13997,6,31,116,18,武
多摩市,147648,137622,21.1,0.0,0.0,6.2,93.8,0.0,12107,5304,931,845,2,83,731,114,6.0,2.2,43,13,449,427,50,34,6,10,0,0,3,1332,1296,8,20,7,0,72,154,142,4,6,3,0,16,33049,129381,39123,9,24,603,34,多
稲城市,84835,58913,18.0,0.0,0.0,16.6,83.4,0.0,11702,3370,666,627,3,35,584,43,5.0,1.3,46,5,141,135,29,24,2,3,0,0,1,603,591,3,7,3,0,31,64,59,1,2,1,0,7,16649,54682,14593,5,18,234,19,稲
羽村市,57032,55966,9.9,0.0,0.0,90.2,9.8,0.0,8513,3578,108,103,0,5,76,27,0.9,0.8,12,2,258,256,10,4,0,5,0,0,1,172,162,0,8,3,0,14,15,11,0,2,1,0,3,8606,45720,13497,4,5,44,8,羽
あきる野市,80868,67814,73.3,8.6,48.1,29.2,14.1,0.0,26124,4269,603,549,0,54,509,40,1.9,0.9,271,5,1168,1147,53,26,3,23,0,0,1,432,356,4,65,7,0,19,55,32,2,18,3,0,4,10749,60658,15173,5,26,123,21,あ
西東京市,196511,148056,15.9,0.0,0.0,72.0,28.0,0.0,31416,6457,831,830,0,1,767,64,2.4,1.0,1,7,681,666,44,32,0,12,1,0,2,892,839,0,20,32,1,40,85,67,0,5,13,0,9,41099,127759,31227,8,36,297,28,西
瑞穂町,33497,36088,16.8,0.0,0.0,97.3,2.7,0.0,8480,2652,152,150,0,3,136,13,1.6,0.5,1,1,83,82,10,8,0,2,0,0,0,189,185,0,3,1,0,10,13,11,0,1,1,0,2,3648,33909,10651,3,4,49,7,瑞
日の出町,16650,13965,28.1,21.0,23.1,52.2,3.7,0.0,5321,1194,132,82,0,50,76,6,1.4,0.5,183,1,189,187,12,4,3,4,0,0,0,71,61,4,5,1,0,4,8,4,2,1,0,0,1,1912,15893,4655,1,5,20,6,日
檜原村,2558,2566,105.4,23.6,76.4,0.1,0.0,0.0,1865,307,25,0,0,24,0,0,0.0,0.0,235,0,0,0,2,0,2,0,0,0,0,2,0,2,0,0,0,0,1,0,1,0,0,0,0,84,2688,562,0,1,0,2,檜
奥多摩町,6045,6205,225.6,99.3,0.7,0.0,0.0,0.0,3975,868,11,0,0,11,0,0,0.0,0.0,378,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,32,6036,1480,0,0,0,1,奥
多摩計,4185878,3663705,1159.9,26.3,19.3,23.4,31.0,0.1,790186,209098,31474,30435,45,995,27293,3142,3.5,1.5,2592,274,42291,40822,2169,1246,65,836,21,0,63,28860,24991,82,3020,731,36,1372,3804,2631,41,844,285,4,299,879437,3239826,923490,809,1201,10040,1050,多
都計,13131573,14948404,1776.6,17.2,12.7,44.6,25.5,0.0,2011459,814962,75668,73322,817,1528,65573,7749,3.3,1.0,3184,544,65770,63768,4732,3220,109,1302,97,2,178,101102,92831,137,4614,3349,172,4432,10902,8220,68,1290,1306,18,965,2756681,13874939,4714314,5130,2549,30626,3121,都
