ケース,対象範囲,各地点の最大津波高（ｍ）,各地点の最大津波高／地殻変動を考慮しない場合の値（ｍ）,各地点の最大津波高の平均値（ｍ）,各地点の最大津波高の平均値／地殻変動を考慮しない場合の値（ｍ）,各地点の１ｍ津波高の到達時間（分）,各地点の１ｍ津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）,各地点の最大津波高の到達時間（分）,各地点の最大津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）
元禄型,（１）御蔵島港,５．３０～１４．８１,５．３２～１４．８３,9.41,9.43,１７．３～１７．９,17.5,１７．６～１８．２,17.8
関東地震,島全体,４．８４～２２．６０,４．８６～２２．６２,11.56,11.58,１７．２～１９．７,17.5,１７．４～２３．９,17.6
