島別,海岸別内訳海岸名,海岸別内訳施設名,海岸別内訳施設延長（ｍ）
大島,泉浜,護岸等,2630
大島,湯の浜,護岸等,740
大島,湯の浜,人工リーフ,340
大島,筆島,護岸等,170
大島,筆島,人工リーフ,290
大島,行者,護岸等,390
利島,前浜,護岸等,410
新島,羽伏浦,護岸等,980
新島,和田浜,護岸等,30
新島,和田浜,人工リーフ,300
神津島,多幸浜,護岸等,1730
神津島,沢尻・長浜,護岸等,1930
神津島,沢尻・長浜,人工リーフ,620
三宅島,阿古,護岸等,530
三宅島,ナゴラ,護岸等,330
三宅島,ナゴラ,人工リーフ,170
御蔵島,御蔵,護岸等,680
八丈島,乙千代ケ浜,護岸等,150
八丈島,洞輪沢,護岸等,240
その他,,護岸等　,4260
計,,護岸等,15200
計,,人工リーフ等,1720
