消防本部名,構成区市町村名,本部設置年月,人口,面積（ｋｍ２）,職員数
東京消防庁,特別区（２３区）、八王子市、立川市、武蔵野市、三鷹市、青梅市、府中市、昭島市、調布市、町田市、小金井市、小平市、日野市、東村山市、国分寺市、国立市、福生市、狛江市、東大昭和市、清瀬市、武蔵村山市、多摩市、羽村市、あきる野市、西東京市、瑞穂町、日の出町、檜原村、奥多摩町（事務委託２８市町村）,昭和23年3月,12512690,1750.81,17327
東久留米市,東久留米市,昭和45年12月,115696,12.92,122
稲城市,稲城市,昭和42年12月,79865,17.97,74
大島町,大島町,昭和47年4月,8878,91.06,24
三宅村,三宅村,昭和46年4月,2890,55.50,12
八丈町,八丈町,昭和48年4月,8713,72.62,23
