法的区分,水利種別,特別区,多摩地区,合計
消防法第２０・２１条,貯水槽,9,8,17
消防法第２０・２１条,受水槽,34,16,50
消防法第２０・２１条,大型高圧消火栓,3,0,3
消防法第２０・２１条,貯水池,14,17,31
消防法第２０・２１条,プール,30,34,64
消防法第２０・２１条,河川・溝,1835,724,2559
消防法第２０・２１条,池・濠,95,44,139
消防法第２０・２１条,海,435,0,435
消防法第２０・２１条,井戸,5,2,7
消防法第２０・２１条,小計,2460,845,3305
消防法第３０条,貯水槽,1,0,1
消防法第３０条,受水槽,53,12,65
消防法第３０条,貯水池,6,12,18
消防法第３０条,プール,3,0,3
消防法第３０条,河川・溝,121,45,166
消防法第３０条,池・濠,12,15,27
消防法第３０条,海,50,0,50
消防法第３０条,井戸,0,7,7
消防法第３０条,小計,246,91,337
合計,,2706,936,3642
