区分,崩壊土砂流出危険地区箇所数,崩壊土砂流出危険地区面積（ｈａ）,山腹崩壊危険地区箇所数,山腹崩壊危険地区面積（ｈａ）,地すべり等発生危険地区箇所数,地すべり等発生危険地区面積（ｈａ）
八王子市,59,39.0,34,376.0,0,0
町田市,0,0,4,31.0,0,0
青梅市,81,85.0,51,270.0,0,0
稲城市,1,2.0,1,7.0,0,0
あきる野市,120,52.0,74,302.0,0,0
日の出町,73,31.0,27,98.0,0,0
檜原村,116,52.0,101,464.0,0,0
奥多摩町,112,133.0,181,827.0,0,0
多摩地域小計,562,394.0,473,2375,0,0
大島町,26,27.7,12,55.0,0,0
新島村,2,1.8,16,374.0,0,0
神津島村,21,36.0,17,180.0,0,0
利島村,1,1.1,2,4.0,0,0
三宅村,33,82.0,6,74.0,0,0
御蔵島村,10,9.6,3,4.0,0,0
八丈町,21,25.0,11,39.0,0,0
青ヶ島村,4,0.9,6,13.0,0,0
島しょ小計,118,184.1,73,743.0,0,0
東京都合計,680,578.1,546,3118.0,0,0
