年,地域,区部江東区、墨田区、江戸川区（ｃｍ／年）,区部足立区、葛飾区（ｃｍ／年）,区部北区、荒川区、板橋区、練馬区（ｃｍ／年）,区部その他の区部（ｃｍ／年）,多摩地域（ｃｍ／年）
17,変動量,0.48,0.08,0.62,0.85,0.99
17,地点,江東区清澄二丁目,葛飾区立石五丁目,板橋区高島平四丁目,千代田区有楽町一丁目,清瀬市旭が丘二丁目
17,基標名,深（２１）,葛（２１）,板（２０）,麹（３）,清瀬（１）
18,変動量,-,-,0.06,0.26,0.56
18,地点,-,-,練馬区関町北一丁目,渋谷区神宮前六丁目,三鷹市大沢四丁目
18,基標名,-,-,練（３６）,赤（９）,三鷹（４）
19,変動量,1.52,0.92,0.83,0.97,1.45
19,地点,江東区千田,足立区中川四丁目,板橋区高島平四丁目,品川区南品川三丁目,東村山市恩多町一丁目
19,基標名,深（９）,量（４）,板（２０）,（９－１）,東村（２）
20,変動量,0.13,0.03,-,0.37,0.66
20,地点,墨田区立花五丁目,葛飾区新小岩二丁目,-,中央区晴海一丁目,町田市本町田
20,基標名,向（７）,葛（２０）,-,港（１９）,ＢＭ．１８
21,変動量,0.38,0.54,0.39,0.44,1.22
21,地点,江戸川区臨海町二丁目,足立区中央本町一丁目,板橋区高島平四丁目,千代田区紀尾井町,東村山市恩多町一丁目
21,基標名,江（４２）,足（３７）,板（２０）,麹（６）,東村（２）
22,変動量,0.99,1.21,1.16,1.59,1.45
22,地点,墨田区八広六丁目,足立区入谷七丁目,練馬区大泉学園町二丁目,大田区南雪谷五丁目,稲城市大丸
22,基標名,向（五）,足（８）,練（２７）,大（７）,稲城（４）
