局１,局２,局３,総数,第一配備本庁,第一配備事業所,第一配備計,第二配備本庁,第二配備事業所,第二配備計,現地機動班,特例配備本庁,特例配備事業所,特例配備計
政策企画局,管理職,男,60,24,0,24,7,0,7,19,10,0,10
政策企画局,管理職,女,6,5,0,5,0,0,0,1,0,0,0
政策企画局,管理職,計,66,29,0,29,7,0,7,20,10,0,10
政策企画局,総数,男,161,66,0,66,15,0,15,60,20,0,20
政策企画局,総数,女,83,45,0,45,8,0,8,26,4,0,4
政策企画局,総数,計,244,111,0,111,23,0,23,86,24,0,24
青少年・治安対策本部,管理職,男,10,5,0,5,1,0,1,1,3,0,3
青少年・治安対策本部,管理職,女,4,2,0,2,0,0,0,2,0,0,0
青少年・治安対策本部,管理職,計,14,7,0,7,1,0,1,3,3,0,3
青少年・治安対策本部,総数,男,42,18,0,18,5,0,5,15,4,0,4
青少年・治安対策本部,総数,女,26,14,0,14,0,0,0,11,1,0,1
青少年・治安対策本部,総数,計,68,32,0,32,5,0,5,26,5,0,5
総務局,管理職,男,92,36,0,36,11,0,11,39,6,0,6
総務局,管理職,女,14,8,0,8,1,1,2,4,0,0,0
総務局,管理職,計,106,44,0,44,12,1,13,43,6,0,6
総務局,総数,男,442,105,1,106,69,8,77,230,29,0,29
総務局,総数,女,217,29,1,30,19,6,25,160,2,0,2
総務局,総数,計,659,134,2,136,88,14,102,390,31,0,31
財務局,管理職,男,49,17,0,17,9,0,9,7,16,0,16
財務局,管理職,女,4,2,0,2,1,0,1,0,1,0,1
財務局,管理職,計,53,19,0,19,10,0,10,7,17,0,17
財務局,総数,男,378,119,0,119,103,0,103,81,75,0,75
財務局,総数,女,104,44,0,44,21,0,21,25,14,0,14
財務局,総数,計,482,163,0,163,124,0,124,106,89,0,89
主税局,管理職,男,164,8,19,27,17,40,57,23,19,38,57
主税局,管理職,女,47,7,11,18,4,12,16,5,2,6,8
主税局,管理職,計,211,15,30,45,21,52,73,28,21,44,65
主税局,総数,男,1629,40,148,188,33,85,118,1223,28,72,100
主税局,総数,女,1347,23,149,172,6,42,48,1096,6,25,31
主税局,総数,計,2976,63,297,360,39,127,166,2319,34,97,131
生活文化局,管理職,男,35,8,0,8,6,1,7,8,10,2,12
生活文化局,管理職,女,18,8,1,9,2,0,2,2,4,1,5
生活文化局,管理職,計,53,16,1,17,8,1,9,10,14,3,17
生活文化局,総数,男,260,72,7,79,31,14,45,84,35,17,52
生活文化局,総数,女,196,59,8,67,55,5,60,41,20,8,28
生活文化局,総数,計,456,131,15,146,86,19,105,125,55,25,80
オリンピック・パラリンピック準備局,管理職,男,32,9,0,9,10,0,10,8,5,0,5
オリンピック・パラリンピック準備局,管理職,女,6,5,0,5,1,0,1,0,0,0,0
オリンピック・パラリンピック準備局,管理職,計,38,14,0,14,11,0,11,8,5,0,5
オリンピック・パラリンピック準備局,総数,男,126,42,0,42,44,0,44,35,5,0,5
オリンピック・パラリンピック準備局,総数,女,64,23,0,23,18,0,18,23,0,0,0
オリンピック・パラリンピック準備局,総数,計,190,65,0,65,62,0,62,58,5,0,5
都市整備局,管理職,男,132,30,6,36,27,10,37,0,28,31,59
都市整備局,管理職,女,14,6,0,6,2,2,4,0,1,3,4
都市整備局,管理職,計,146,36,6,42,29,12,41,0,29,34,63
都市整備局,総数,男,912,168,107,275,163,117,280,0,101,256,357
都市整備局,総数,女,367,108,50,158,70,52,122,0,20,67,87
都市整備局,総数,計,1279,276,157,433,233,169,402,0,121,323,444
環境局,管理職,男,54,9,1,10,14,0,14,8,18,4,22
環境局,管理職,女,6,0,0,0,5,0,5,1,0,0,0
環境局,管理職,計,60,9,1,10,19,0,19,9,18,4,22
環境局,総数,男,386,62,15,77,93,15,108,73,99,29,128
環境局,総数,女,131,30,7,37,30,7,37,29,18,10,28
環境局,総数,計,517,92,22,114,123,22,145,102,117,39,156
福祉保健局,管理職,男,173,28,38,66,18,27,45,0,20,42,62
福祉保健局,管理職,女,112,21,38,59,5,27,32,0,3,18,21
福祉保健局,管理職,計,285,49,76,125,23,54,77,0,23,60,83
福祉保健局,総数,男,1840,228,401,629,174,378,552,0,248,411,659
福祉保健局,総数,女,2748,224,1017,1241,170,720,890,0,170,447,617
福祉保健局,総数,計,4588,452,1418,1870,344,1098,1442,0,418,858,1276
病院経営本部,管理職,男,501,3,248,251,6,114,120,0,7,123,130
病院経営本部,管理職,女,164,0,55,55,1,54,55,0,1,53,54
病院経営本部,管理職,計,665,3,303,306,7,168,175,0,8,176,184
病院経営本部,総数,男,1793,10,871,881,29,432,461,0,30,421,451
病院経営本部,総数,女,5322,9,3430,3439,12,1272,1284,0,25,574,599
病院経営本部,総数,計,7115,19,4301,4320,41,1704,1745,0,55,995,1050
産業労働局,管理職,男,84,22,17,39,13,11,24,7,7,7,14
産業労働局,管理職,女,23,7,6,13,6,3,9,1,0,0,0
産業労働局,管理職,計,107,29,23,52,19,14,33,8,7,7,14
産業労働局,総数,男,803,133,145,278,96,161,257,247,12,9,21
産業労働局,総数,女,433,94,93,187,63,86,149,96,0,1,1
産業労働局,総数,計,1236,227,238,465,159,247,406,343,12,10,22
中央卸売市場,管理職,男,45,7,2,9,10,7,17,0,9,10,19
