区分,区部施設数（か所）,区部確保水量（ｍ３）,多摩施設数（か所）,多摩確保水量（ｍ３）,計施設数（か所）,計確保水量（ｍ３）
浄水場（所）・給水所等,31,571580,93,364800,124,936380
既存の貯水槽（２７００ｍ３）,1,2700,-,-,1,2700
応急給水槽（１５００ｍ３）,46,69000,7,10500,53,79500
小規模応急給水槽（１００ｍ３）,22,2200,3,300,25,2500
計,100,645480,103,375600,203,1021080
