区市町村,夜間人口（人）,昼間人口（人）,面積（ｋｍ２）,震度別面積率（％）５弱以下,震度別面積率（％）５強,震度別面積率（％）６弱,震度別面積率（％）６強,震度別面積率（％）７,建物棟数木造,建物棟数非木造,原因別建物全壊棟数計,原因別建物全壊棟数ゆれ,原因別建物全壊棟数液状化,原因別建物全壊棟数急傾斜地崩壊,ゆれ建物全壊棟数木造,ゆれ建物全壊棟数非木造,ゆれ建物全壊率（％）木造,ゆれ建物全壊率（％）非木造,急傾斜地崩壊危険箇所,火災出火件数,火災焼失棟数倒壊建物を含む,火災焼失棟数倒壊建物を含まない,人的被害死者計（人）,人的被害死者ゆれ・液状化建物被害（人）,人的被害死者急傾斜地崩壊（人）,人的被害死者火災（人）,人的被害死者ブロック塀等（人）,人的被害死者屋外落下物（人）,人的被害死者屋内収容物（参考値）（人）,人的被害負傷者計（人）,人的被害負傷者ゆれ・液状化建物被害（人）,人的被害負傷者急傾斜地崩壊（人）,人的被害負傷者火災（人）,人的被害負傷者ブロック塀等（人）,人的被害負傷者屋外落下物（人）,人的被害負傷者屋内収容物（参考値）（人）,人的被害負傷者うち重傷者計（人）,人的被害負傷者うち重傷者ゆれ・液状化建物被害（人）,人的被害負傷者うち重傷者急傾斜地崩壊（人）,人的被害負傷者うち重傷者火災（人）,人的被害負傷者うち重傷者ブロック塀等（人）,人的被害負傷者うち重傷者屋外落下物（人）,人的被害負傷者うち重傷者屋内収容物（参考値）（人）,避難者発生数（人）,帰宅困難者滞留者数（人）,帰宅困難者帰宅困難者数（人）,閉じ込めにつながり得るエレベーター停止台数,災害時要援護者死者数（人）,自力脱出困難者発生数（人）,震災廃棄物（万ｔ）,区市町村２
千代田区,47115,853382,11.6,0.0,0.0,3.2,96.8,0.0,3629,15380,835,824,4,7,461,362,12.7,2.4,17,7,1,1,33,33,0,0,0,0,1,916,905,0,1,2,9,41,127,126,0,0,1,1,9,11072,-,-,645,13,324,60,千
中央区,122762,647733,10.2,0.0,0.0,7.1,92.9,0.0,6210,12760,1942,1926,15,0,1444,482,23.3,3.8,0,10,2,2,100,100,0,0,0,0,4,2751,2728,0,3,8,13,97,447,442,0,1,3,1,21,44266,-,-,584,43,1641,88,中
港区,205131,908940,20.3,0.0,0.0,6.9,93.1,0.1,13050,21979,2150,2035,8,106,1472,564,11.3,2.6,118,11,10,9,109,103,4,0,1,0,6,3302,3243,5,3,42,8,146,459,438,3,1,16,1,32,49966,-,-,741,49,1447,111,港
新宿区,326309,770094,18.2,0.0,0.0,19.5,80.5,0.0,36731,29507,3683,3600,5,78,2986,614,8.1,2.1,46,12,91,86,213,206,5,1,1,0,9,4376,4316,6,7,41,5,200,581,560,3,2,16,1,44,67597,-,-,468,109,1811,132,新
文京区,206626,336229,11.3,0.0,0.0,11.9,88.1,0.0,27454,19692,3602,3543,5,54,3141,402,11.4,2.0,48,7,126,116,226,216,4,2,4,0,7,3920,3743,5,7,141,24,140,550,488,2,2,55,3,31,52902,-,-,254,102,1605,102,文
台東区,175928,303522,10.1,0.0,0.0,2.1,97.9,0.0,22814,22088,6687,6649,31,7,5860,789,25.7,3.6,4,12,130,110,408,402,0,3,2,0,7,4647,4526,1,10,85,25,145,774,735,0,3,33,3,32,69822,-,-,470,222,2729,178,台
墨田区,247606,262514,13.8,0.0,0.0,0.1,99.9,0.0,34427,23443,9902,9826,76,0,8722,1104,25.3,4.7,0,14,699,580,615,598,0,16,1,0,11,7484,7424,0,33,21,6,225,1308,1290,0,9,8,1,49,116933,-,-,322,285,4529,247,墨
江東区,460819,490708,39.5,0.0,0.0,0.1,99.3,0.5,27895,24091,8010,7926,84,0,6731,1195,24.1,5.0,0,14,200,169,474,466,0,5,3,0,18,10902,10770,0,16,94,22,367,1784,1741,0,4,37,2,81,211088,-,-,429,232,7107,268,江
品川区,365302,505034,22.7,0.0,0.0,3.1,95.9,0.9,51286,25015,5281,5214,9,57,4689,525,9.1,2.1,43,12,1379,1284,352,321,4,27,1,0,12,6100,5979,5,85,28,3,246,813,776,3,24,11,0,54,101476,-,-,289,166,2682,144,品
目黒区,268330,271320,14.7,0.0,0.0,12.8,87.2,0.0,40796,23689,2538,2510,6,23,2119,391,5.2,1.6,20,7,869,835,173,146,2,21,4,0,8,2872,2687,2,46,131,6,162,388,322,1,13,51,1,36,56481,-,-,122,70,1117,93,目
