港名称,南海トラフ巨大地震の最大津波高（ｍ）ケース１,南海トラフ巨大地震の最大津波高（ｍ）ケース２,南海トラフ巨大地震の最大津波高（ｍ）ケース５,南海トラフ巨大地震の最大津波高（ｍ）ケース６,南海トラフ巨大地震の最大津波高（ｍ）ケース８,最大津波高到達時間（最短ケース）（分）,最大津波高到達時短最短ケース（ケース）
（１）神津島港,24.46,9.03,4.45,24.46,24.33,13.9,１、６
（２）三浦漁港（多幸湾）,13.11,4.97,4.32,13.10,13.69,17.6,１、６、８
（３）三浦湾,23.65,5.49,4.37,23.67,23.68,16.9,１、６
