会社等機関名,所在地,防除資材オイルフェンス（ｍ）,防除資材油処理剤（Ｌ）,防除資材油吸着材（ｋｇ）,備考
東京電力（株）大井火力発電所,品川区八潮１－２－２,1080,1800,404,03-4476-2231
（株）シナネン・オート東京支社,品川区東品川１－３９－１９,60,360,34,03-3471-0531
出光興産（株）東京油槽所,江東区若洲２－９－２,720,1500,600,03-3521-2761
三愛石油（株）羽田支社,大田区羽田空港３－７,680,0,748,03-5757-0328
（株）朝田商会東京油槽所,江東区若洲２－８－１４,600,1000,200,03-5569-5001
東港サービス（株）,港区海岸３－２５－８,0,1674,170,03-3456-2007
東京都港湾局,新宿区西新宿２－８－１,2200,3600,2200,03-5320-5521
東京消防庁,千代田区大手町１－３－５,資料第４３参照,資料第４３参照,資料第４３参照,03-3212-2111
東京海上保安部,江東区青海２－７－１１,200,270,272,03-5564-2021
計,,5540,10204,4628,
