区分,区分２,配備数（平成２６年４月現況）
ヘリコプター（機）,,14
警備艇（隻）,,23
車両（台）,指揮用車,315
車両（台）,警ら用無線自動車,1401
車両（台）,交通取締用自動二輪車,951
車両（台）,警備用自動二輪車,153
車両（台）,機動救助車,10
車両（台）,機動救助資材車,10
車両（台）,輸送車,472
車両（台）,クレーン・レッカー,38
車両（台）,ショベル車,21
車両（台）,災害用資材車,112
車両（台）,災害用広報車,10
車両（台）,多目的災害用車,10
車両（台）,水難救助車,3
車両（台）,山岳救助車,3
車両（台）,災害用投光車,2
車両（台）,衛星通信車,1
車両（台）,給水車,4
資材,救命ボート,420
資材,船外機,210
資材,救命索発射器,68
資材,救命胴衣,2157
資材,スコップ・ハンマー,3451
資材,ジャッキ,1406
資材,レスキューバール,1212
資材,自動膨張式救命浮環,2157
資材,チェンソー,286
資材,エンジンカッター,383
資材,担架,33
資材,渡河橋,1
資材,テント,565
資材,土嚢袋,98000
資材,水マット,10
