項目１,項目２,ひばり,ゆりかもめ,こうのとり／はくちょう,ちどり,かもめ／つばめ,総務省ヘリ
機体,型式,ユーロコプター式ＡＳ３３２Ｌ１型,ユーロコプター式ＥＣ２２５ＬＰ型,ユーロコプター式／エアバス・ヘリコプターズ式ＥＣ２２５ＬＰ型,アエロスパシアル式ＡＳ３６５Ｎ２型,ユーロコプター式ＡＳ３６５Ｎ３型,ユーロコプター式ＡＳ３６５Ｎ３型
性能,全備重量（ｋｇ）,8600,11000,11000,4250,4300,4300
性能,巡航速度（ｋｍ／ｈ）,252,262,262,254,269,269
性能,航続時間,５時間５４分,４時間３３分,４時間３７分,４時間１８分,４時間０６分,４時間０６分
性能,航続距離（ｋｍ）,1105,937,946,860,792,792
性能,座席数（乗員含む）（席）,23,23,22,13,14,13
性能,エンジン型式,ターボメカ式,ターボメカ式,ターボメカ式,ターボメカ式,ターボメカ式,ターボメカ式
性能,エンジン馬力（馬力）,1877,2358,2358,763,977,977
性能,エンジン基数（基）,2,2,2,2,2,2
性能,使用燃料,航空用ジェットＡ－１,航空用ジェットＡ－１,航空用ジェットＡ－１,航空用ジェットＡ－１,航空用ジェットＡ－１,航空用ジェットＡ－１
装備品等,消火装置,胴体下部取付け式,胴体下部取付け式,胴体下部取付け式,胴体下部取付け式,胴体下部取付け式,胴体下部取付け式
装備品等,消火装置容量（口）,2000,2500,2500,900,900,900
装備品等,消火装置数（式）,,,1,3,3,3
装備品等,ホイスト装置（最大つり上げ重量）（ｋｇ）,272,272,272,272,272,272
装備品等,スリング（最大つり上げ重量）（ｋｇ）,3000,3800,3800,1600,1600,1600
