年月,１年併合,１年普通,２年併合,２年普通,３年併合,３年普通,合計
13年4月,3,22,7,19,8,24,83
14年4月,5,6,3,20,7,17,58
15年4月,2,7,4,6,3,21,43
16年4月,2,7,3,7,4,7,30
17年4月,1,12,2,10,3,10,38
