区分,市区町村,都内市区町村別人数
特別区,千代田,5
特別区,中央,8
特別区,港,179
特別区,新宿,9
特別区,文京,2
特別区,台東,20
特別区,墨田,17
特別区,江東,196
特別区,品川,131
特別区,目黒,19
特別区,大田,101
特別区,世田谷,43
特別区,渋谷,10
特別区,中野,17
特別区,杉並,17
特別区,豊島,14
特別区,北,238
特別区,荒川,4
特別区,板橋,36
特別区,練馬,54
特別区,足立,119
特別区,葛飾,89
特別区,江戸川,176
特別区,小計,1504
市町村,八王子,627
市町村,立川,63
市町村,武蔵野,3
市町村,三鷹,7
市町村,青梅,6
市町村,府中,67
市町村,昭島,41
市町村,調布,8
市町村,町田,46
市町村,小金井,4
市町村,小平,18
市町村,日野,13
市町村,東村山,63
市町村,国分寺,9
市町村,国立,154
市町村,西東京,15
市町村,福生,8
市町村,狛江,3
市町村,東大和,49
市町村,清瀬,4
市町村,東久留米,71
市町村,武蔵村山,295
市町村,多摩,4
市町村,稲城,90
市町村,あきる野,56
市町村,羽村,1
市町村,瑞穂,2
市町村,小計,1727
島しょ,大島,3
島しょ,新島,12
島しょ,神津島,1
島しょ,御蔵島,4
島しょ,八丈,44
島しょ,小計,64
合計,,3295
