ふ頭名,施設名,面積（ｍ２）
日の出ふ頭,Ｇ,1442
芝浦ふ頭,Ｊ,12553
芝浦ふ頭,Ｋ,9524
芝浦ふ頭,Ｌ,1769
芝浦ふ頭,Ｍ,1182
芝浦ふ頭,Ｎ,4945
品川ふ頭,Ｃ,14222
品川ふ頭,Ｄ,14079
品川ふ頭,Ｇ,18332
品川ふ頭,Ｈ,19908
品川ふ頭,Ｉ,5351
品川ふ頭,Ｊ,4579
品川ふ頭,Ｋ,5316
品川ふ頭,重量物Ａ,7919
品川ふ頭,重量物Ｂ,16802
品川ふ頭,重量物Ｃ,79939
大井建材,Ａ,10858
大井建材,Ｂ,4830
大井建材,Ｃ,5460
１０号地ふ頭,１号上屋背後,5178
１０号地ふ頭,２号上屋背後,3576
１０号地ふ頭,３号上屋背後,5178
１０号地ふ頭,４号上屋背後,10529
１０号地ふ頭,５号上屋背後,3958
１０号地ふ頭,６号上屋背後,3947
１０号地ふ頭,Ａ,13825
１０号地ふ頭,Ｃ,13506
１０号地ふ頭,Ｄ,12864
１０号地ふ頭,Ｅ,12874
１０号地ふ頭,Ｇ,13506
１０号地ふ頭,Ｈ,13506
１０号地ふ頭,Ｉ,6711
１０号地ふ頭,Ｊ,12433
１０号地ふ頭,Ｌ,14641
１０号地ふ頭,Ｎ,13379
１０号地ふ頭,自動車附属,2958
フェリー,Ａ,10997
フェリー,Ｂ,19169
青海ふ頭,重量物,122487
辰巳ふ頭,Ａ,8935
辰巳ふ頭,Ｂ,7985
辰巳ふ頭,Ｃ,19584
辰巳ふ頭,Ｄ,13582
辰巳ふ頭,Ｅ,4051
１５号地原木,,37984
若洲建材ふ頭,Ａ,6885
若洲建材ふ頭,Ｂ,7290
若洲建材ふ頭,Ｃ,6885
若洲建材ふ頭,Ｄ,16033
中防内側ばら物ふ頭,Ａ,11147
中防内側ばら物ふ頭,Ｂ,7791
中防内側ばら物ふ頭,Ｃ,5600
中防内側ばら物ふ頭,Ｄ,4800
計,,712784
