分担機関,分担路線道路管理者,分担路線路線数,分担路線路線延長（ｋｍ）,主要路線名
都建設局,都,282,1300.5,【都道】環状７号、環状８号、芝新宿王子（明治通り）、新宿青梅（青梅街道・新青梅街道）、御徒町小岩（蔵前橋通り）、練馬所沢（目白通り）、府中町田（鎌倉街道）、杉並あきる野（五日市街道）、その他
都建設局,区市町村,227,176.35,【都道】環状７号、環状８号、芝新宿王子（明治通り）、新宿青梅（青梅街道・新青梅街道）、御徒町小岩（蔵前橋通り）、練馬所沢（目白通り）、府中町田（鎌倉街道）、杉並あきる野（五日市街道）、その他
都港湾局,都,33,33,【都道】環状７号、環状８号、芝新宿王子（明治通り）、新宿青梅（青梅街道・新青梅街道）、御徒町小岩（蔵前橋通り）、練馬所沢（目白通り）、府中町田（鎌倉街道）、杉並あきる野（五日市街道）、その他
関東地方整備局,国,12,239.1,【国道】１号（日比谷通り・桜田通り・第二京浜）、４号（昭和通り・日光街道）、６号（江戸通り・水戸街道）、１４号（京葉道路）、１５号（第一京浜）、１６号（東京環状）、１７号（本郷通り・白山通り・新大宮バイパス・中山道）、２０号（新宿通り・甲州街道）、２４６号（青山通り・玉川通り）２５４号（春日通り、川越街道）、３５７号（湾岸道路）、２９８号（東京外かく環状道路）
東日本高速道路／中日本高速道路,東日本高速道路／中日本高速道路,8,79.2,東名高速道路、中央自動車道、関越自動車道、第三京浜道路、京葉道路、国道１６号（八王子バイパス）、東京外かん自動車道、圏央道
首都高速道路,首都高速道路,19,191.3,【首都高速道路】都心環状線、中央環状線、１号上野線、１号羽田線、２号目黒線、３号渋谷線、４号新宿線、５号池袋線、６号向島線、６号三郷線、７号小松川線、９号深川線、１０号晴海線、１１号台場線、川口線、湾岸線、湾岸分岐線、八重洲線、神奈川１号横羽線
