発生年月(和暦),発生年月（西暦）,地震名,マグニチュード,最大震度,震源の深さ（ｋｍ）
7年1月,1995,兵庫県南部地震,7.3,7,16
16年10月,2004,新潟県中越地震,6.8,7,13
23年3月,2011,東北地方太平洋沖地震,9.0,7,24
28年4月,2016,熊本地震,7.3,7,12
