島名,港名,施設名,延長（ｍ）,水深（ｍ）,対象船舶（ｔ）
大島,元町港,岸壁,460,－６．０～－７．５,５００～５０００
大島,元町港,物揚場,50,-3.0,小型船
大島,岡田港,岸壁,430,－４．５～－７．５,５００～５０００
大島,波浮港,岸壁,135,-6.5,4000
大島,波浮港,物揚場,757,-3.0,小型船
利島,利島港,岸壁,530,－６．０～－７．５,5000
利島,利島港,物揚場,137,-3.0,小型船
新島,新島港,岸壁,380,－６．０～－７．５,５００～５０００
新島,新島港,物揚場,200,-3.0,小型船
式根島,式根島港,岸壁,150,-7.5,5000
式根島,式根島港,物揚場,80,－２．０～－３．０,小型船
神津島,神津島港,岸壁,440,-7.5,5000
神津島,神津島港,物揚場,617,－２．０～－３．０,小型船
三宅島,三池港,岸壁,230,－６．０～－７．５,５００～５０００
御蔵島,御蔵島港,岸壁,300,-7.5,5000
御蔵島,御蔵島港,物揚場,162,-3.0,小型船
八丈島,神湊港,岸壁,310,－６．０～－７．５,５００～５０００
八丈島,八重根港,岸壁,230,－６．０～－７．５,５００～５０００
青ケ島,青ケ島港,物揚場,54,-3.0,小型船
父島,二見港,岸壁,340,－５．０～－７．５,５００～１００００
父島,二見港,物揚場,130,-3.0,小型船
母島,沖港,岸壁,140,-4.5,500
母島,沖港,物揚場,382,-3.0,小型船
