市町村名,箇所数
八王子市,1
青梅市,4
あきる野市,1
日の出町,1
檜原村,5
奥多摩町,12
多摩地域計,24
神津島村,2
御蔵島村,1
八丈町,3
青ヶ島村,1
小笠原村,12
島しょ地域計,19
東京都全体,43
