港名称,南海トラフ巨大地震の最大津波高（ｍ）ケース（１）,南海トラフ巨大地震の最大津波高（ｍ）ケース（２）,南海トラフ巨大地震の最大津波高（ｍ）ケース（５）,南海トラフ巨大地震の最大津波高（ｍ）ケース（６）,南海トラフ巨大地震の最大津波高（ｍ）ケース（８）,最大津波高到達時間（分）,最大津波高到達時間（最短ケース）
（１）三池港,9.79,5.99,6.61,10.21,10.79,36.5,ケース（１）、（６）
（２）坪田漁港,8.58,5.59,4.58,8.24,9.89,23.6,ケース（６）
（３）阿古漁港,10.85,4.29,3.68,10.83,10.05,23.0,ケース（１）、（６）
（４）伊ヶ谷漁港,16.11,7.69,5.35,16.10,16.98,24.6,ケース（１）、（６）
（５）大久保港・大久保漁港,12.55,5.00,3.69,12.55,12.94,26.7,ケース（１）、（６）
（６）湯の浜漁港,12.16,5.04,3.81,12.17,11.29,27.0,ケース（１）、（６）
