島名,対象範囲,最大津波高（ｍ）,最大津波高（左欄）の到達時間（分）,最大津波高をもたらすケース（ケース）,浸水図掲載頁
大島,島全体,15.76,22.4,8,２－７５
利島,島全体,16.18,19.1,8,２－８４
新島,島全体,30.16,17.1,8,２－９４
式根島,島全体,28.15,13.7,1,２－９９
神津島,島全体,28.43,16.6,8,２－１１３
三宅島,島全体,16.98,49.9,8,２－１２４
御蔵島,島全体,7.37,35.3,8,２－１３３
八丈島,島全体,18.07,32.6,6,２－１４３
青ヶ島,島全体,17.68,34.6,6,２－１５２
父島,島全体,18.52,128.7,5,２－１６１
母島,島全体,15.91,107.8,5,２－１７０
区部,（江東区）,2.48,204.5,２・水門閉鎖,２－１８２～２－１８３
