区分１,区分２,１４,１４,１５,１５,１６,１６,１６,１７,１７,１７,１８,１９,２０,２０,２０,２１,２２,２２,２３,２４
月日,,8月2日,8月4日,9月3日,10月13日,9月4日,10月9日,10月20日,8月15日,9月4日,9月11日,9月11日,8月24日,7月29日,8月5日,8月28日,"8月9日
～10日",7月5日,12月2日～3日,8月26日,
異常気象,,集中豪雨,集中豪雨,集中豪雨,集中豪雨,集中豪雨,台風２２号,台風２３号,集中豪雨,集中豪雨,集中豪雨,集中豪雨,集中豪雨,集中豪雨,集中豪雨,８月末豪雨,台風９号,集中豪雨,集中豪雨,集中豪雨,
浸水面積（ｈａ）,,2.25,10.16,1.09,8.86,1.74,29.74,11.53,4.03,171.6,0.78,1.62,3.82,0.75,4.23,15.18,6.33,34.45,0.59,5.76,
浸水棟数,床下（棟）,55,318,70,206,44,652,344,156,2453,19,59,42,19,69,209,203,364,34,142,
浸水棟数,床上（棟）,43,443,13,139,60,562,332,154,3374,36,36,13,53,142,93,119,455,57,275,
浸水棟数,半壊（棟）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
浸水棟数,全壊（棟）,,,,,,,,,,,,,,,,,,,0,
浸水棟数,計,98,761,83,345,104,1214,676,310,5827,55,95,55,72,211,303,322,819,91,417,
降雨記録,観測所名,五日市,志茂橋,西新井,和田見橋,志茂橋,江東,渋谷,鷲ノ宮,下井草,三田,芝久保,江東,立川,蓬莱橋,図師,志茂橋,板橋区,町田,上祖師谷,
降雨記録,６０分最大雨量（ｍｍ）,67,74,54,68,81,70,48,124,112,71,87,92,51,67,115,100,114,53,96,
降雨記録,総雨量（ｍｍ）,70,74,56,69,150,283,229,126,263,81,104,108,53,113,261,182,137,101,140,
