番号,渓流名,市町村名,指定年月日
1,落沢,奥多摩町,大正7年7月4日
2,オチ沢,奥多摩町,大正7年7月4日
3,小袖川,奥多摩町,大正7年7月4日
4,シダクラ沢,奥多摩町,大正7年7月4日
5,平沢,奥多摩町,大正7年7月4日
6,橋沢,奥多摩町,大正7年7月4日
7,蛇沢,奥多摩町,大正7年7月4日
8,ボウズ谷,奥多摩町,大正7年7月4日
9,水久保沢,奥多摩町,大正7年7月4日
10,水根沢谷,奥多摩町,大正7年7月4日
11,峰谷川,奥多摩町,大正7年7月4日
12,モクボ谷,奥多摩町,大正7年7月4日
13,ヤツネヤ谷,奥多摩町,大正7年7月4日
14,岫沢,奥多摩町,大正7年7月4日
15,海沢川,奥多摩町,大正7年11月7日
16,オウカワ沢,奥多摩町,大正7年11月7日
17,大沢,奥多摩町,大正7年11月7日
18,小川谷,奥多摩町,大正7年11月7日
19,カラ沢,奥多摩町,大正7年11月7日
20,唐松谷,奥多摩町,大正7年11月7日
21,小中沢,奥多摩町,大正7年11月7日
22,孫惣谷,奥多摩町,大正7年11月7日
23,タル沢,奥多摩町,大正7年11月7日
24,寺地沢,奥多摩町,大正7年11月7日
25,栃寄川,奥多摩町,大正7年11月7日
26,日原川,奥多摩町,大正7年11月7日
27,日陰名栗沢,奥多摩町,大正7年11月7日
28,大沢川,青梅市,大正8年11月18日
29,琴沢入川,青梅市,大正8年11月18日
30,払沢,青梅市,大正8年11月18日
31,平溝川,青梅市,大正8年11月18日
32,越沢,奥多摩町,大正8年11月18日
33,大丹波川,奥多摩町,大正8年11月18日
34,西川,奥多摩町,大正8年11月18日
35,松沢,奥多摩町,大正8年11月18日
36,峰入川,奥多摩町,大正8年11月18日
37,鯉川,あきる野市,大正10年2月5日
38,大荷田川,青梅市,大正10年2月5日
39,岨端川,青梅市,大正10年2月5日
40,多摩川,青梅市、奥多摩町,大正10年2月5日
41,浅間沢,青梅市、羽村市,大正10年2月5日
42,養沢川,あきる野市,大正13年8月30日
43,子の神沢,奥多摩町,大正13年8月30日
44,棚沢川,奥多摩町,大正13年8月30日
45,盆堀川,あきる野市,昭和2年10月13日
46,南秋川,檜原村,昭和3年5月14日
47,北浅川,檜原村,昭和4年2月13日
48,秋川,あきる野市,昭和8年1月30日
49,一ノ谷,あきる野市,昭和8年1月30日
50,二ノ谷,あきる野市,昭和8年1月30日
51,黒沢川,青梅市,昭和8年1月30日
52,小布市川,青梅市,昭和8年1月30日
53,滝本川,青梅市,昭和8年1月30日
54,長沢川,青梅市,昭和8年1月30日
55,小津川,八王子市,昭和8年1月30日
56,小仏川,八王子市,昭和8年1月30日
57,山入川,八王子市,昭和8年1月30日
58,北大久野川,日の出町,昭和8年1月30日
59,平井川,日の出町,昭和8年1月30日
60,三ノ谷,あきる野市,昭和8年12月19日
61,北浅川,八王子市,昭和11年1月27日
62,唐滝川,八丈町,昭和25年6月1日
63,三原川,八丈町,昭和25年6月1日
64,金曽沢,三宅村,昭和25年6月1日
65,とんび沢,三宅村,昭和25年6月1日
66,川口川,八王子市,昭和26年6月28日
67,谷地川,八王子市,昭和26年6月28日
68,鴨川,八丈町,昭和26年6月28日
69,神津沢,神津島村,昭和26年9月5日
70,名古川,八丈町,昭和26年9月5日
71,刈寄川,あきる野市,昭和28年10月15日
72,氷沢川,あきる野市,昭和28年10月15日
73,深沢川,あきる野市,昭和28年10月15日
74,二本竹川,青梅市,昭和29年6月22日
75,蛇沢,神津島村,昭和32年11月13日
76,西川,三宅村,昭和33年3月3日
77,間川,三宅村,昭和33年3月3日
78,喜代沢,青梅市,昭和28年10月15日
79,鳶巣川,青梅市,昭和28年10月15日
80,卯辰川・西川,御蔵島村,昭和34年5月20日
81,大金沢,大島町,昭和34年12月25日
82,長沢・ごりんの沢,大島町,昭和34年12月25日
83,案下川,八王子市,昭和35年10月7日
84,醍醐川,八王子市,昭和35年10月7日
85,足下田川,日の出町,昭和37年8月15日
86,玉の内川,日の出町,昭和37年8月15日
87,二ッ塚川,日の出町,昭和37年8月15日
88,姉川,三宅村,昭和37年11月13日
89,榎木沢,三宅村,昭和37年11月13日
90,神明沢,青梅市,昭和38年3月12日
91,幸神川,日の出町,昭和38年3月12日
92,羽生沢川,日の出町,昭和38年3月12日
93,八雲沢,奥多摩町,昭和41年5月30日
94,坂沢,あきる野市,昭和41年6月24日
95,和亜田沢,新島村,昭和41年6月24日
96,ツヅキ沢,神津島村,昭和41年8月16日
97,伊豆川,三宅村,昭和41年8月16日
98,釜の尻沢,三宅村,昭和41年8月16日
99,樽沢,あきる野市,昭和42年3月22日
100,白倉入沢,日の出町,昭和42年3月22日
101,谷戸川,日の出町,昭和42年3月22日
102,矢越沢,日の出町,昭和42年3月22日
103,五郎川,大島町,昭和42年3月31日
104,滝ノ沢,奥多摩町,昭和42年3月31日
105,唐沢,あきる野市,昭和42年7月12日
106,大入川,日の出町,昭和42年7月12日
107,花水川,青梅市,昭和42年12月28日
108,坂本川,日の出町,昭和42年12月28日
109,水穴沢,あきる野市,昭和43年3月30日
110,渡世沢,新島村,昭和44年1月13日
111,町屋川,青梅市,昭和45年10月7日
112,坊田沢,三宅村,昭和45年10月7日
113,ようが沢,三宅村,昭和47年11月24日
114,吉田沢,新島村,昭和48年9月7日
115,大谷川,小笠原村,昭和49年3月30日
116,大村川,小笠原村,昭和49年3月30日
117,地の岡沢,大島町,昭和54年7月9日
118,田ケ沢,三宅村,昭和59年1月28日
119,筑穴ケ沢,三宅村,昭和59年1月28日
120,道の沢,三宅村,昭和59年1月28日
121,長ノ入沢,八丈町,昭和61年3月17日
122,奥村川,小笠原村,昭和62年1月26日
123,谷久保川,青梅市,昭和63年3月18日
124,鉄砲沢,小笠原村,平成1年3月7日
125,赤見沢,八丈町,平成1年3月9日
126,吹上川,小笠原村,平成3年3月15日
127,渡浮根沢,新島村,平成3年3月15日
128,角尻川,八丈町,平成3年3月15日
129,吉野川,青梅市,平成5年3月25日
130,八重沢,大島町,平成6年1月21日
131,力石沢,八王子市,平成8年3月15日
132,大宮沢,大島町,平成11年7月2日
133,長谷川,小笠原村,平成11年7月2日
134,伊ヶ谷沢,三宅村,平成12年5月10日
135,高処沢,神津島村,平成13年3月16日
136,平たん沢,神津島村,平成13年3月16日
137,洞沢,神津島村,平成13年3月16日
138,小骨ヶ洞,八丈町,平成13年3月16日
139,時雨川,小笠原村,平成14年3月14日
140,カジヤノ沢,神津島村,平成14年9月24日
141,大の沢,神津島村,平成14年9月24日
142,川田沢,三宅村,平成14年9月24日
143,三池沢,三宅村,平成14年9月24日
144,大沢,三宅村,平成15年1月10日
145,御子敷沢,三宅村,平成15年1月10日
146,仏沢,三宅村,平成15年1月10日
147,タデノ沢,三宅村,平成15年1月10日
148,カニガ沢,三宅村,平成15年1月10日
149,ヤナボ沢,三宅村,平成15年3月14日
150,赤場暁沢,三宅村,平成15年12月16日
151,厚木沢,三宅村,平成15年12月16日
152,大久保沢,三宅村,平成15年12月16日
153,川田沢支川,三宅村,平成15年12月16日
154,大穴沢,三宅村,平成16年1月28日
155,岡堀沢,三宅村,平成16年1月28日
156,椎取沢,三宅村,平成16年1月28日
157,清水沢,三宅村,平成16年1月28日
158,鉄砲沢・夕景沢,三宅村,平成16年1月28日
159,湯船沢・土佐沢,三宅村,平成16年1月28日
160,釜方沢,三宅村,平成16年3月17日
161,しらみ沢,三宅村,平成16年3月17日
162,大蔵沢,奥多摩町,平成16年12月2日
163,角屋敷沢,三宅村,平成17年4月26日
164,芦穴沢,三宅村,平成17年8月3日
165,空栗沢,三宅村,平成17年8月3日
166,立根沢,三宅村,平成17年8月3日
167,美茂井沢,三宅村,平成18年8月11日
168,三ノ輪沢,三宅村,平成18年8月11日
169,ハルゲ沢,三宅村,平成19年5月22日
170,初沢川,八王子市,平成21年3月4日
171,中の沢,八王子市,平成22年9月24日
172,塩ノ沢,奥多摩町,平成23年10月21日
173,岡田沢,大島町,平成23年10月21日
174,北の山川,大島町,平成23年11月1日
