市町村名,土砂災害の発生要因となる自然現象の種類土石流,土砂災害の発生要因となる自然現象の種類地すべり,土砂災害の発生要因となる自然現象の種類急傾斜地の崩壊,計
八王子市,371,1,1243,1615
町田市,2,0,569,571
青梅市,398,1,1054,1453
福生市,0,0,17,17
羽村市,1,0,27,28
あきる野市,133,0,645,778
瑞穂町,8,0,34,42
日の出町,164,1,504,669
檜原村,150,6,775,931
奥多摩町,152,10,727,889
計,1379,19,5595,6993
