区分,年月日,在校者数小,在校者数中,在校者数高,在校者数計,入寮者小,入寮者中,入寮者高,入寮者計
秋川校舎・避難当初,12.9.1,138,106,115,359,138,106,115,359
秋川校舎,16.5.1,0,6,30,36,0,0,22,22
在籍児童・生徒総数,16.5.1,142,87,107,336,,,,
