事業区分,規制態様,２３区・島しょ,２６市・郡部,合計
販売事業者,登録,312,303,615
認定販売事業者,認定,0,1,1
認定保安機関事業者,認定,301,285,586
貯蔵施設,許可,21,11,32
特定供給設備,許可,4,27,31
充てん設備,許可,1,37,38
設備工事事業者,届出,732,673,1405
合計,,1371,1337,2708
