河川名,名称,敷地面積（ｍ２）,貯留量（ｍ３）,設置場所,完成年度
石神井川,富士見池調節池,21000,33800,練馬区,平成19
石神井川,芝久保調節池,10000,11000,西東京市,昭和55
石神井川,南町調節池,8000,12000,西東京市,昭和55
石神井川,向台調節池,30000,81000,西東京市,昭和58
善福寺川,和田堀第二調節池,5100,2500,杉並区,昭和56
善福寺川,和田堀第三調節池,3900,3000,杉並区,昭和56
善福寺川,和田堀第六調節池,15400,48000,杉並区,平成19
善福寺川,善福寺川調節池,3600,35000,杉並区,実施中
野川,野川第一調節池,14800,21000,小金井市,昭和58
野川,野川第二調節池,16900,28000,小金井市,平成元
野川,大沢調節池,43100,90000,三鷹市,平成13
白子川,比丘尼橋上流調節池,22000,34400,練馬区,昭和60
白子川,比丘尼橋下流調節池,15400,212000,練馬区,平成14
白子川,白子川地下調節池,-,212000,練馬区,実施中
妙正寺川,妙正寺川第一調節池,11000,30000,新宿・中野区,昭和61
妙正寺川,北江古田調節池,15600,17000,中野区,昭和61
妙正寺川,落合調節池,9600,50000,新宿区,平成7
妙正寺川,妙正寺川第二調節池,11300,100000,中野区,平成7
妙正寺川,上高田調節池,16600,160000,中野区,平成9
妙正寺川,鷺宮調節池,10000,35000,中野区,平成24
神田川,環状七号線地下調節池,-,540000,中野区・杉並区,平成19
残堀川,国営昭和記念公園調節池,22800,60000,立川市,昭和62
残堀川,残堀川調節地,50000,60000,立川市,実施中
目黒川,舟入場調節池,2900,55000,目黒区,平成24
目黒川,荏原調節池,11400,200000,品川区,平成13
柳瀬川,金山調節池,31500,46000,清瀬市,平成5
霞川,霞川調節池,13300,88000,青梅市,平成18
古川,古川地下調節池,-,135000,港区・渋谷区,実施中
黒目川,黒目橋調節池,14000,159400,東久留米市,平成14実施中
黒目川,黒目橋調節池（２期）,※,61600,東久留米市,平成14実施中
