区分,マグニチュード（Ｍ）,電力（停電率）（％）,通信（不通率）（％）,ガス（供給停止率）（％）,上水道（断水率）（％）,下水道（被害率）（％）
東京湾北部地震,7.3,17.6,7.6,２６．８～７４．２,34.5,23.0
多摩直下地震,7.3,8.8,2.0,６．５～８４．６,36.9,23.2
元禄型関東地震,8.2,11.8,6.1,３．０～５３．１,45.2,22.9
立川断層帯地震,7.4,4.0,1.4,０．８～１１．３,13.3,18.8
