種別,箇所数,１次／２次／３次,施設名称,所在地,緯度,経度,座標系,区市町村
（１）陸上自衛隊駐屯地,9,2,陸上自衛隊三宿駐屯地,世田谷区池尻１－２－２４,35.643947,139.683755,JGD2011,世田谷
（１）陸上自衛隊駐屯地,※,2,陸上自衛隊十条駐屯地,北区十条台１－５－７０,35.757358,139.726442,JGD2011,北
（１）陸上自衛隊駐屯地,※,2,陸上自衛隊練馬駐屯地,練馬区北町４－１－１,35.764690,139.657500,JGD2011,練馬
（１）陸上自衛隊駐屯地,※,2,陸上自衛隊朝霞駐屯地,練馬区大泉学園町,35.781658,139.595161,JGD2011,練馬
（１）陸上自衛隊駐屯地,※,2,陸上自衛隊用賀駐屯地,世田谷区上用賀１－２０－１,35.633422,139.637491,JGD2011,世田谷
（１）陸上自衛隊駐屯地,※,2,陸上自衛隊立川駐屯地,立川市緑町５,35.712357,139.402135,JGD2011,立川
（１）陸上自衛隊駐屯地,※,2,陸上自衛隊東立川駐屯地,立川市栄町１－２－１０,35.705200,139.426600,JGD2011,立川
（１）陸上自衛隊駐屯地,※,2,陸上自衛隊市ヶ谷駐屯地,新宿区市谷本村町５－１,35.693837,139.727038,JGD2011,新宿
（１）陸上自衛隊駐屯地,※,2,陸上自衛隊小平駐屯地,小平市喜平町２－３－１,35.720530,139.483600,JGD2011,小平
（２）航空自衛隊基地２,2,2,航空自衛隊府中基地,府中市浅間町１－５－５,35.673530,139.495300,JGD2011,府中
（２）航空自衛隊基地２,※,2,航空自衛隊横田基地,福生市大字福生２５５２,35.743370,139.330500,JGD2011,福生
