島別,全体計画（ｍ）,港湾別内訳港湾名,港湾別内訳施設名,港湾別内訳施設延長（ｍ）
大島,3493,元町港,護岸,920
大島,※,岡田港,護岸,327
大島,※,岡田港,突堤,50
大島,※,岡田港,離岸堤,230
大島,※,波浮港,護岸,941
大島,※,野増漁港,護岸,615
大島,※,野増漁港,離岸堤,315
大島,※,泉津漁港,離岸堤,95
利島,601,利島港,護岸,387
利島,※,利島港,離岸堤,240
利島,※,利島港,突堤,32
新島,3999,新島港,護岸,1512
新島,※,新島港,突堤,14
新島,※,新島港,離岸堤,1133
新島,※,若郷漁港,突堤,168
新島,※,若郷漁港,離岸堤,797
新島,※,若郷漁港,潜堤,47
神津島,1235,神津島港,護岸,725
神津島,※,神津島港,潜堤,510
三宅島,2498,三池港,防潮堤,559
三宅島,※,三池港,護岸,369
三宅島,※,三池港,離岸堤,100
三宅島,※,大久保港,護岸,595
三宅島,※,大久保港,消波堤,385
三宅島,※,大久保港,護岸,355
三宅島,※,阿古漁港,離岸堤,176
三宅島,※,阿古漁港,消波堤,182
御蔵島,46,御蔵島港,護岸,46
八丈島,1999,神湊港,護岸,255
八丈島,※,神湊港,突堤,400
八丈島,※,神湊港,離岸堤,495
八丈島,※,神湊漁港,消波堤,70
八丈島,※,八重根漁港,防潮堤,308
八丈島,※,洞輪沢漁港,護岸,259
八丈島,※,洞輪沢漁港,離岸堤,212
青ヶ島,50,青ヶ島港,護岸,50
