市町村名,土砂災害の発生要因となる自然現象の種類土石流,土砂災害の発生要因となる自然現象の種類急傾斜地の崩壊,計
八王子市,338,1207,1545
町田市,0,163,163
青梅市,353,1027,1380
福生市,0,14,14
羽村市,1,25,26
あきる野市,90,483,573
瑞穂町,8,26,34
日の出町,53,198,251
計,843,3143,3986
