年度,神着,伊豆,伊ヶ谷,阿古,坪田,計
13,7,5,2,14,22,50
14,100,67,47,117,179,510
15,77,47,37,72,117,350
16,53,39,27,109,84,312
計,237,158,113,312,402,1222
