番号,箇所番号,所在地区市,所在地町村,所在地大字,所在地小字
1,101A1-001,千代田区,,紀尾井町,
2,101A1-002,千代田区,,紀尾井町,5
3,101A1-003,千代田区,,永田町,２－１０
4,101A1-004,千代田区,,猿楽町,１－６
5,101B1-001,千代田区,,永田町,２丁目
6,101B1-002,千代田区,,猿楽町,２－８
7,101B1-003,千代田区,,富士見,１－１
8,101B1-004,千代田区,,富士見,２－４
9,101B1-005,千代田区,,一番町,12
10,101B1-006,千代田区,,一番町,19
11,101B1-007,千代田区,,一番町,7
12,101B1-008,千代田区,,三番町,5
13,101B1-009,千代田区,,三番町,16
14,101B1-010,千代田区,,麹町,３－１２
15,101B1-011,千代田区,,神田駿河台,４－１
16,101B3-001,千代田区,,富士見,二丁目
17,101B3-002,千代田区,,九段北,四丁目
18,103A1-001,港区,,白金台,３－１３
19,103A1-002,港区,,元麻布,１－２
20,103A1-003,港区,,南麻布,４－５
21,103A1-004,港区,,赤坂,７－６
22,103A1-005,港区,,東麻布,２－２
23,103A1-006,港区,,芝公園,３－６
24,103A1-007,港区,,元麻布,２－５
25,103A1-008,港区,,三田,４－１２
26,103A1-009,港区,,高輪,３－１８
27,103A1-010,港区,,高輪,３－１５
28,103A1-011,港区,,白金,２－１
29,103A1-012,港区,,白金,４－７
30,103A1-013,港区,,白金,４－１１
31,103A1-014,港区,,白金,４－１１
32,103A1-015,港区,,白金,４－１１
33,103A1-016,港区,,白金台,２－２７
34,103A1-017,港区,,赤坂,１－１１
35,103A1-018,港区,,麻布狸穴町,59
36,103A1-019,港区,,愛宕,１－５
37,103A1-020,港区,,白金台,２－２０
38,103B1-001,港区,,元麻布,１丁目
39,103B1-002,港区,,赤坂,７－６
40,103B1-003,港区,,麻布台,３丁目
41,103B1-004,港区,,赤坂,２－１７
42,103B1-005,港区,,赤坂,２－１２
43,103B1-006,港区,,赤坂,４－２
44,103B1-007,港区,,赤坂,４－５
45,103B1-008,港区,,赤坂,５－１
46,103B1-009,港区,,赤坂,５－５
47,103B1-010,港区,,赤坂,６－１９
48,103B1-011,港区,,赤坂,７－４
49,103B1-012,港区,,赤坂,８－８
50,103B1-013,港区,,赤坂,８－１２
51,103B1-014,港区,,赤坂,８－１２
52,103B1-015,港区,,赤坂,９－１
53,103B1-016,港区,,南青山,４－１７
54,103B1-017,港区,,南青山,４－１５
55,103B1-018,港区,,六本木,３－５
56,103B1-019,港区,,六本木,１－４
57,103B1-020,港区,,六本木,２－１
58,103B1-021,港区,,六本木,３－８
59,103B1-022,港区,,六本木,３－７
60,103B1-023,港区,,六本木,３－４
61,103B1-024,港区,,六本木,３－２
62,103B1-025,港区,,六本木,４－２
63,103B1-026,港区,,六本木,５－８
64,103B1-027,港区,,六本木,５－１５
65,103B1-028,港区,,六本木,５－１３
66,103B1-029,港区,,六本木,５－１４
67,103B1-030,港区,,六本木,５－１２
68,103B1-031,港区,,六本木,６－８
69,103B1-032,港区,,六本木,６－１６
70,103B1-033,港区,,六本木,６－１６
71,103B1-034,港区,,麻布狸穴町,9
72,103B1-035,港区,,麻布台,１－１
73,103B1-036,港区,,麻布台,１－４
74,103B1-037,港区,,南麻布,１－２４
75,103B1-038,港区,,南麻布,３－９
76,103B1-039,港区,,南麻布,４－５
77,103B1-040,港区,,赤坂,９－２
78,103B1-041,港区,,元麻布,１－５
79,103B1-042,港区,,芝公園,３－１
80,103B1-043,港区,,元麻布,２－３
81,103B1-044,港区,,元麻布,３－１
82,103B1-045,港区,,元麻布,３－６
83,103B1-046,港区,,元麻布,３－５
84,103B1-047,港区,,元麻布,３－９
85,103B1-048,港区,,元麻布,３－１２
86,103B1-049,港区,,元麻布,３－１３
87,103B1-050,港区,,西麻布,１－３
88,103B1-051,港区,,西麻布,２－１８
89,103B1-052,港区,,西麻布,２－２１
90,103B1-053,港区,,西麻布,２－２４
91,103B1-054,港区,,西麻布,３－１７
92,103B1-055,港区,,西麻布,３－１４
93,103B1-056,港区,,虎ノ門,４－３
94,103B1-057,港区,,虎ノ門,４－１
95,103B1-058,港区,,麻布台,１－２
96,103B1-059,港区,,虎ノ門,４－１
97,103B1-060,港区,,愛宕,２－８
98,103B1-061,港区,,芝公園,３－６
99,103B1-062,港区,,芝公園,３－６
100,103B1-063,港区,,三田,１－１１
101,103B1-064,港区,,三田,１－４
102,103B1-065,港区,,三田,２－１４
103,103B1-066,港区,,三田,２－１５
104,103B1-067,港区,,三田,３－７
105,103B1-068,港区,,三田,４－１９
106,103B1-069,港区,,三田,４－１３
107,103B1-070,港区,,三田,４－７
108,103B1-071,港区,,高輪,１－５
109,103B1-072,港区,,高輪,１－４
110,103B1-073,港区,,高輪,１－１７
111,103B1-074,港区,,高輪,１－２３
112,103B1-075,港区,,高輪,２－１６
113,103B1-076,港区,,高輪,２－１２
114,103B1-077,港区,,高輪,２－１０
115,103B1-078,港区,,高輪,２－２
116,103B1-079,港区,,高輪,４－１
117,103B1-080,港区,,高輪,４－１０
118,103B1-081,港区,,高輪,４－２４
119,103B1-082,港区,,白金,２－４
120,103B1-083,港区,,白金,２－４
121,103B1-084,港区,,白金,４－１
122,103B1-085,港区,,白金,６－１６
123,103B1-086,港区,,白金,６－１１
124,103B1-087,港区,,白金,６－５
125,103B1-088,港区,,白金,６－１０
126,103B1-089,港区,,白金,６－１２
127,103B1-090,港区,,白金台,１－２
128,103B1-091,港区,,白金台,２－４
129,103B1-092,港区,,白金台,３－１
130,103B1-093,港区,,白金台,３－１７
131,103B1-094,港区,,白金台,３－１２
132,103B1-095,港区,,白金台,４－３
133,103B1-096,港区,,白金台,４－６
134,103B1-097,港区,,白金台,４－６
135,103B1-098,港区,,白金台,４－６
136,104A1-001,新宿区,,中落合,２丁目
137,104A1-002,新宿区,,下落合,
138,104A1-003,新宿区,,下落合,
139,104A1-004,新宿区,,戸山,
140,104A1-005,新宿区,,戸山,
141,104A1-006,新宿区,,戸山,２－７
142,104A1-007,新宿区,,赤城元町,4
143,104A1-008,新宿区,,若葉,１－１８
144,104A2-001,新宿区,,下落合,４丁目
145,104B1-001,新宿区,,下落合,２丁目
146,104B1-002,新宿区,,下落合,２丁目
147,104B1-003,新宿区,,下落合,２丁目
148,104B1-004,新宿区,,新宿,７丁目
149,104B1-005,新宿区,,戸山,
150,104B1-006,新宿区,,中井,２－３０
151,104B1-007,新宿区,,上落合,２－２０
152,104B1-008,新宿区,,中落合,２－５
153,104B1-009,新宿区,,下落合,４－６
154,104B1-010,新宿区,,西早稲田,１－６
155,104B1-011,新宿区,,戸山,３－１６
156,104B1-012,新宿区,,戸山,２－２
157,104B1-013,新宿区,,戸山,１－２０
158,104B1-014,新宿区,,横寺町,67
159,104B1-015,新宿区,,袋町,3
160,104B1-016,新宿区,,若宮町,12
161,104B1-017,新宿区,,筑土八幡町,2
162,104B1-018,新宿区,,神楽坂,２－１２
163,104B1-019,新宿区,,市谷田町,２－２２
164,104B1-020,新宿区,,市谷砂土原町,２－７
165,104B1-021,新宿区,,市谷砂土原町,１－２
166,104B1-022,新宿区,,市谷長延寺町,8
167,104B1-023,新宿区,,市谷八幡町,15
168,104B1-024,新宿区,,南元町,5
169,104B1-025,新宿区,,南元町,8
170,104B1-026,新宿区,,南元町,4
171,104B1-027,新宿区,,信濃町,26
172,104B1-028,新宿区,,若葉,１－２１
173,104B1-029,新宿区,,須賀町,11
174,104B1-030,新宿区,,舟町,12
175,104B1-031,新宿区,,荒木町,22
176,104B1-032,新宿区,,住吉町,8
177,104B1-033,新宿区,,富久町,1
178,104B1-034,新宿区,,愛住町,12
179,104B1-035,新宿区,,富久町,7
180,104B1-036,新宿区,,新宿,６－２１
181,104B2-801,新宿区,,下落合,二丁目
182,105A1-001,文京区,,大塚,
183,105A1-002,文京区,,大塚,
184,105A1-003,文京区,,目白台,１－１８
185,105A1-004,文京区,,目白台,１－２０
186,105A1-005,文京区,,関口,２－１０
187,105A1-006,文京区,,春日,２－８
188,105A1-007,文京区,,白山,２－３
189,105A1-008,文京区,,白山,５－７
190,105A1-009,文京区,,西片,２－７
191,105A1-010,文京区,,千駄木,１－１１
192,105A1-011,文京区,,弥生,２－２０
193,105A1-012,文京区,,弥生,２－１１
194,105B1-001,文京区,,西片,２－１４
195,105B1-002,文京区,,小日向,
196,105B1-003,文京区,,目白台,１－８
197,105B1-004,文京区,,目白台,３－２６
198,105B1-005,文京区,,関口,２－１
199,105B1-006,文京区,,大塚,１－１０
200,105B1-007,文京区,,大塚,２－３
201,105B1-008,文京区,,大塚,５－１６
202,105B1-009,文京区,,音羽,１－１０
203,105B1-010,文京区,,音羽,１－６
204,105B1-011,文京区,,小日向,２－２２
205,105B1-012,文京区,,小日向,２－１６
206,105B1-013,文京区,,春日,１－９
207,105B1-014,文京区,,春日,２－４
208,105B1-015,文京区,,春日,２－２１
209,105B1-016,文京区,,春日,２－１６
210,105B1-017,文京区,,千石,２－１６
211,105B1-018,文京区,,小石川,２－１９
212,105B1-019,文京区,,小石川,３－１７
213,105B1-020,文京区,,白山,１－３４
214,105B1-021,文京区,,白山,２－１９～２０
215,105B1-022,文京区,,白山,５－２４
216,105B1-023,文京区,,本郷,１－１～３
217,105B1-024,文京区,,本郷,１－５
218,105B1-025,文京区,,本郷,１－３３
219,105B1-026,文京区,,本郷,６－１２
220,105B1-027,文京区,,西片,１－１３～１４
221,105B1-028,文京区,,千駄木,２－１９
222,105B1-029,文京区,,千駄木,３－４
223,105B1-030,文京区,,千駄木,３－１１
224,105B1-031,文京区,,湯島,３－５
225,105B1-032,文京区,,湯島,３－１９
226,105B1-033,文京区,,湯島,３－２８
227,105B2-001,文京区,,春日,２－１３
228,105B2-002,文京区,,千駄木,３－２
229,105B3-001,文京区,,大塚,一丁目
230,106A3-001,台東区,,上野公園,
231,106B1-001,台東区,,谷中,２－６
232,106B1-002,台東区,,谷中,７－１１
233,106B1-801,台東区,,上野,七丁目
234,109A1-001,品川区,,東五反田,５の９
235,109A1-002,品川区,,北品川,４の９
236,109A1-003,品川区,,東五反田,
237,109A1-004,品川区,,上大崎,３の１０
238,109A1-005,品川区,,東五反田,５の２０
239,109B1-001,品川区,,上大崎,３の１１
240,109B1-002,品川区,,西五反田,３の３の６
241,109B1-003,品川区,,南品川,
242,109B1-004,品川区,,八潮,
243,109B1-005,品川区,,上大崎,２の２
244,109B1-006,品川区,,上大崎,１の５
245,109B1-007,品川区,,上大崎,１の３
246,109B1-008,品川区,,上大崎,１の１９
247,109B1-009,品川区,,上大崎,３の１０
248,109B1-010,品川区,,上大崎,３の１２
249,109B1-011,品川区,,上大崎,３の１４
250,109B1-012,品川区,,上大崎,３の１４
251,109B1-013,品川区,,上大崎,４の５
252,109B1-014,品川区,,上大崎,４の６
253,109B1-015,品川区,,東五反田,３の７
254,109B1-016,品川区,,東五反田,３の１６
255,109B1-017,品川区,,西五反田,６の５
256,109B1-018,品川区,,西五反田,８の１０
257,109B1-019,品川区,,大崎,４の２
258,109B1-020,品川区,,大崎,３の１２
259,109B1-021,品川区,,北品川,５の９
260,109B1-022,品川区,,北品川,３の９
261,109B1-023,品川区,,北品川,３の６
262,109B1-024,品川区,,北品川,３の７
263,109B1-025,品川区,,南品川,６丁目７
264,109B1-026,品川区,,南品川,６の８
265,109B1-027,品川区,,西品川,３の２０
266,109B1-028,品川区,,平塚,２の２０
267,109B1-029,品川区,,平塚,１の３
268,109B1-030,品川区,,西大井,４の１１
269,109B1-031,品川区,,西大井,６の１
270,109B1-032,品川区,,東大井,３の５
271,109B1-033,品川区,,平塚,１の１０
272,109B1-034,品川区,,旗の台,３の１３
273,109B1-035,品川区,,大井,４の１１
274,109B1-036,品川区,,上大崎,３の１０
275,109B2-001,品川区,,旗の台,５の７
276,109B2-002,品川区,,平塚,２の７
277,110A1-001,目黒区,,大橋,
278,110A1-002,目黒区,,青葉台,
279,110A1-003,目黒区,,青葉台,
280,110A1-004,目黒区,,青葉台,
281,110A1-005,目黒区,,中目黒,
282,110A1-006,目黒区,,中目黒,
283,110A1-007,目黒区,,下目黒,
284,110A1-008,目黒区,,下目黒,４の１８
285,110A1-009,目黒区,,中目黒,
286,110A1-010,目黒区,,目黒,
287,110A1-011,目黒区,,中目黒,１の１
288,110A1-012,目黒区,,下目黒,３の５
289,110B1-001,目黒区,,大岡山,１の３１
290,110B1-002,目黒区,,駒場,１の６
291,110B1-003,目黒区,,東山,３の１６
292,110B1-004,目黒区,,青葉台,３の３
293,110B1-005,目黒区,,青葉台,３の５
294,110B1-006,目黒区,,大橋,２の４
295,110B1-007,目黒区,,中目黒,１の１
296,110B1-008,目黒区,,目黒,１の３の６０
297,111A1-001,大田区,,田園調布,
298,111A1-002,大田区,,田園調布,
299,111A1-003,大田区,,田園調布,
300,111A1-004,大田区,,田園調布,
301,111A1-005,大田区,,田園調布,
302,111A1-006,大田区,,池上,
303,111A1-007,大田区,,中央,
304,111A1-008,大田区,,池上,２丁目
305,111A1-009,大田区,,中央,
306,111A1-010,大田区,,東馬込,１－４１
307,111A1-011,大田区,,南馬込,２－１１
308,111A1-012,大田区,,南馬込,２－２５
309,111A1-013,大田区,,南馬込,３－３３
310,111A1-014,大田区,,南馬込,４－６
311,111A1-015,大田区,,南馬込,５－１８
312,111A1-016,大田区,,西馬込,１－１
313,111A1-017,大田区,,中央,６－６
314,111A1-018,大田区,,田園調布南,25
315,111A1-019,大田区,,田園調布,１－３０
316,111A1-020,大田区,,田園調布,２－２７
317,111A1-021,大田区,,田園調布,３－４２
318,111A1-022,大田区,,石川町,１－２０
319,111A1-023,大田区,,東雪谷,５－３５
320,111A1-024,大田区,,山王,４－３０
321,111A1-025,大田区,,山王,４－３２
322,111A1-026,大田区,,東馬込,１－４３
323,111A1-027,大田区,,池上,１－１９
324,111A1-028,大田区,,田園調布,２－２８
325,111A1-029,大田区,,山王,３－３０
326,111A1-030,大田区,,南馬込,１－１３
327,111A1-031,大田区,,池上,１－３２
328,111B1-001,大田区,,南雪谷,
329,111B1-002,大田区,,大田区,
330,111B1-003,大田区,,鵜の木,
331,111B1-004,大田区,,西嶺町,31
332,111B1-007,大田区,,多摩川,
333,111B1-008,大田区,,山王,２－３４
