島名,海岸名,整備済延長（ｍ）護岸等,整備済延長（ｍ）人工リーフ,実施計画（２５）（ｍ）護岸等,実施計画（２５）（ｍ）人工リーフ
大島,泉浜,2630,0,77,0
大島,湯の浜,740,340,0,0
大島,筆島,170,290,0,0
大島,行者,390,0,0,0
利島,前浜,410,0,60,0
新島,羽伏浦,980,0,0,0
新島,和田浜,30,300,0,50
神津島,多幸浜,1730,0,0,0
神津島,沢尻・長浜,1930,620,0,0
三宅島,阿古,530,0,0,0
三宅島,ナゴラ,330,170,0,0
御蔵島,御蔵,680,0,0,0
八丈島,乙千代ヶ浜,150,0,0,0
八丈島,洞輪沢,240,0,0,0
その他,,4260,0,70,0
計,,15200,1720,207,50
