区分１,区分２,伊ケ谷老人福祉館,三宅支庁,逢の浜温泉,三池消防器具置場,三宅村役場,三宅島空港,坪田公民館,アカコッコ館,薄木生コン工場,阿古港船客待合所
長期,年平均値（ｐｐｍ）,0.04,0.02,0.17,0.32,0.28,0.22,0.02,0.03,0.12,0.04
長期,１時間値０．１ｐｐｍ以上の割合（％）,5.5,2.1,19.5,33.1,24.3,19.3,3.2,5.4,14.6,6.8
短期,レベル１（０．２ｐｐｍ超）月平均時間（分）,1744,617,5041,9768,8597,6675,769,1371,4118,1988
短期,レベル２（０．６ｐｐｍ超）月平均時間（分）,982,305,2546,5513,6196,4684,356,549,2478,912
短期,レベル３（２ｐｐｍ超）月平均時間（分）,135,60,925,1491,1325,1163,59,60,372,148
短期,レベル４（５ｐｐｍ超）月平均時間（分）,10,1,128,306,206,218,2,4,21,2
