島名,海岸名,整備延長（ｍ）,実施計画（２５）（ｍ）
大島,元町港,920,0
大島,岡田港,607,0
大島,波浮港,941,0
大島,野増漁港,930,0
大島,泉津漁港,95,0
利島,利島港,627,41.5
新島,新島港,3027,32
新島,若郷漁港,965,0
神津島,神津島港,1235,0
三宅島,三池港,1028,0
三宅島,大久保港,757,222.8
三宅島,阿古漁港,713,0
御蔵島,御蔵島港,46,0
八丈島,神湊港,1150,0
八丈島,神湊漁港,113,0
八丈島,八重根漁港,308,0
八丈島,洞輪沢漁港,471,0
青ヶ島,青ヶ島港,50,0
