区市町村,夜間人口（人）,昼間人口（人）,面積（ｋｍ２）,震度別面積率（％）５弱以下,震度別面積率（％）５強,震度別面積率（％）６弱,震度別面積率（％）６強,震度別面積率（％）７,建物棟数木造,建物棟数非木造,原因別建物全壊棟数計,原因別建物全壊棟数ゆれ,原因別建物全壊棟数液状化,原因別建物全壊棟数急傾斜地崩壊,ゆれ建物全壊棟数木造,ゆれ建物全壊棟数非木造,ゆれ建物全壊率（％）木造,ゆれ建物全壊率（％）非木造,急傾斜地崩壊危険箇所,津波全壊棟数,火災出火件数,火災焼失棟数倒壊建物を含む,火災焼失棟数倒壊建物を含まない,人的被害死者計（人）,人的被害死者ゆれ・液状化建物被害（人）,人的被害死者急傾斜地崩壊（人）,人的被害死者火災（人）,人的被害死者津波（人）,人的被害死者ブロック塀等（人）,人的被害死者屋外落下物（人）,人的被害死者屋内収容物（参考値）（人）,人的被害負傷者計（人）,人的被害負傷者ゆれ・液状化建物被害（人）,人的被害負傷者急傾斜地崩壊（人）,人的被害負傷者火災（人）,人的被害負傷者ブロック塀等（人）,人的被害負傷者屋外落下物（人）,人的被害負傷者屋内収容物（参考値）（人）,人的被害負傷者うち重傷者計（人）,人的被害負傷者うち重傷者ゆれ・液状化建物被害（人）,人的被害負傷者うち重傷者急傾斜地崩壊（人）,人的被害負傷者うち重傷者火災（人）,人的被害負傷者うち重傷者ブロック塀等（人）,人的被害負傷者うち重傷者屋外落下物（人）,人的被害負傷者うち重傷者屋内収容物（参考値）（人）,避難者発生数（人）,帰宅困難者滞留者数（人）,帰宅困難者帰宅困難者数（人）,閉じ込めにつながり得るエレベーター停止台数,災害時要援護者死者数（人）,自力脱出困難者発生数（人）,震災廃棄物（万ｔ）,区市町村２
千代田区,47115,853382,11.6,0.0,0.0,80.6,19.4,0.0,3629,15380,333,326,3,5,184,142,5.1,0.9,17,0,4,0,0,134,133,1,0,0,0,0,7,7159,7146,1,7,1,4,326,663,659,1,2,1,0,71,9757,1080758,501355,398,3,1742,31,千
中央区,122762,647733,10.2,0.0,0.0,48.1,51.9,0.0,6210,12760,1046,1035,10,0,811,224,13.1,1.8,0,39,10,2,2,87,86,0,1,0,0,0,8,5443,5413,0,16,6,7,383,600,592,0,5,2,1,84,41426,687953,309315,498,6,2249,57,中
港区,205131,908940,20.3,0.0,0.0,54.1,45.9,0.0,13050,21979,1172,1087,6,80,803,284,6.2,1.3,118,4,12,10,10,115,102,11,1,0,1,0,10,6775,6705,14,18,34,5,317,690,664,7,5,13,0,69,48155,1052177,468794,580,10,2270,70,港
新宿区,326309,770094,18.2,0.0,0.0,96.2,3.8,0.0,36731,29507,1059,995,2,63,815,180,2.2,0.6,46,0,5,37,37,70,61,7,2,0,1,0,7,3304,3261,8,7,26,1,222,257,240,4,2,10,0,48,55790,754164,313811,294,14,792,59,新
文京区,206626,336229,11.3,0.0,0.0,99.7,0.3,0.0,27454,19692,726,681,3,42,593,88,2.2,0.4,48,0,2,40,40,46,37,4,1,0,2,0,4,1828,1729,5,4,85,5,103,145,107,3,1,33,1,22,35770,336926,131632,137,11,355,39,文
台東区,175928,303522,10.1,0.0,0.0,83.8,16.2,0.0,22814,22088,2114,2091,17,6,1858,233,8.1,1.1,4,0,6,48,46,143,139,1,2,0,2,0,3,3048,2976,1,8,56,8,85,304,279,0,2,22,1,19,50867,292785,112757,254,46,1043,83,台
墨田区,247606,262514,13.8,0.0,0.0,45.6,54.4,0.0,34427,23443,3390,3356,34,0,3028,328,8.8,1.4,0,31,12,426,401,162,152,0,10,0,0,0,3,3477,3440,0,21,13,2,71,360,349,0,6,5,0,15,85211,242306,79083,235,74,1225,117,墨
江東区,460819,490708,39.5,0.0,0.0,6.8,93.2,0.0,27895,24091,3979,3942,37,0,3470,472,12.4,2.0,0,40,19,221,204,178,169,0,6,0,2,0,12,6417,6313,0,23,69,11,302,737,702,0,7,27,1,66,169446,509466,178078,397,75,2871,148,江
品川区,365302,505034,22.7,0.0,0.0,2.8,96.9,0.3,51286,25015,4883,4814,10,59,4355,459,8.5,1.8,43,10,21,2569,2407,291,216,6,68,0,1,0,12,5614,5308,7,269,27,3,286,728,638,4,75,10,0,62,110478,480501,179084,295,99,2212,138,品
目黒区,268330,271320,14.7,0.0,0.0,50.9,49.1,0.0,40796,23689,1549,1522,5,22,1301,221,3.2,0.9,20,0,8,1041,1017,83,55,2,23,0,3,0,3,1702,1525,2,62,109,4,73,204,143,1,17,42,0,16,60366,241932,78206,104,35,493,67,目
