期間,最大震度別回数１,最大震度別回数２,最大震度別回数３,最大震度別回数４,最大震度別回数５弱,最大震度別回数５強,最大震度別回数６弱,最大震度別回数６強,最大震度別回数７,震度１以上を観測した回数回数,震度１以上を観測した回数累計
4/14～4/30,1722,859,323,98,10,5,3,2,2,3024,3024
5/1～5/31,344,134,43,8,0,0,0,0,0,529,3553
6/1～6/30,147,51,14,4,1,0,0,0,0,217,3770
7/1～7/31,85,19,8,1,0,0,0,0,0,113,3883
8/1～8/31,77,28,3,2,1,0,0,0,0,111,3994
9/1～9/30,49,16,7,2,0,0,0,0,0,74,4068
10/1～10/31,41,10,4,0,0,0,0,0,0,55,4123
11/1～11/7,3,5,0,0,0,0,0,0,0,8,4131
計,2468,1122,402,115,12,5,3,2,2,4131,
