ふ頭名,施設名,面積（ｍ２）
竹芝ふ頭,内貿上屋,2150
日の出ふ頭,日の出２号,2160
日の出ふ頭,日の出３号,2160
日の出ふ頭,日の出４号,2124
日の出ふ頭,南上屋,1890
芝浦ふ頭,内貿１号上屋,8601
芝浦ふ頭,内貿２号上屋,8317
芝浦ふ頭,内貿３号上屋,5086
品川ふ頭,内貿１号上屋,7113
品川ふ頭,内貿２号上屋,7122
品川ふ頭,内貿３号上屋,6634
１０号地ふ頭,１号上屋,6522
１０号地ふ頭,２号上屋,6522
１０号地ふ頭,３号上屋,6522
１０号地ふ頭,４号上屋,14250
１０号地ふ頭,５号上屋,6768
１０号地ふ頭,６号上屋,6818
晴海ふ頭,２号上屋,4678
晴海ふ頭,３号上屋,4758
晴海ふ頭,４号上屋,3020
青海ふ頭,青海流通センター１号,9523
青海ふ頭,青海流通センター２号,9523
大井ふ頭,海貨１号上屋,7627
大井ふ頭,海貨２号上屋,5485
大井ふ頭,海貨３号上屋,5102
大井ふ頭,海貨４号上屋,5139
大井ふ頭,海貨５号上屋,6129
大井ふ頭,青果１号上屋,2789
大井ふ頭,食品２号上屋,7301
辰巳ふ頭,内貿雑貨上屋,3600
中防内側ばら物ふ頭,１号上屋,960
中防内側ばら物ふ頭,２号上屋,960
中防内側ばら物ふ頭,３号上屋,498
中防内側ばら物ふ頭,４号上屋,498
中防内側ばら物ふ頭,５号上屋,498
計,,178847
