区分,判定件数,調査済み,要注意,危険
熊本市,30487,14126,10514,5847
益城町,9769,3006,2957,3806
西原村,2703,610,725,1368
御船町,1426,311,480,635
菊陽町,152,38,67,47
宇土市,1265,506,531,228
南阿蘇村,2128,550,564,1014
南小国町,219,153,50,16
山都町,65,12,33,20
阿蘇市,1725,863,519,343
菊池市,593,196,197,200
甲佐町,1543,465,545,533
宇城市,2099,1006,606,487
美里町,294,50,201,43
大津町,891,181,321,389
高森町,26,22,3,1
嘉島町,2115,731,682,702
氷川町,70,7,34,29
合計,57570,22833,19029,15708
