町村名等,最大震度,最大となる地震動モデル,最大津波高（ｍ）,最大となる津波モデル
大島町,５強,東側ケース、経験的手法,16.0,ケース８駿河湾～愛知県東部沖、三重県南部沖～徳島県沖に大すベり域を設定
利島村,５強,経験的手法、（東側ケース）,15.3,ケース８駿河湾～愛知県東部沖、三重県南部沖～徳島県沖に大すベり域を設定
新島村,５強,基本ケース、東側ケース／経験的手法,30.9,ケース８駿河湾～愛知県東部沖、三重県南部沖～徳島県沖に大すベり域を設定
神津島村,５強,基本ケース、東側ケース／経験的手法,24.3,ケース８駿河湾～愛知県東部沖、三重県南部沖～徳島県沖に大すベり域を設定
三宅村,５強,東側ケース、経験的手法,17.2,ケース１駿河湾～紀伊半島沖に大すベり域を設定／ケース６駿河湾～紀伊半島沖に大すベり域＋分岐断層
御蔵島村,５弱,東側ケース、経験的手法,7.0,ケース８駿河湾～愛知県東部沖、三重県南部沖～徳島県沖に大すベり域を設定
八丈町,４,基本ケース、陸側ケース／東側ケース、西側ケース／経験的手法,16.9,ケース６駿河湾～紀伊半島沖に大すベり域＋分岐断層
青ヶ島村,４,基本ケース、東側ケース／経験的手法,17.0,ケース６駿河湾～紀伊半島沖に大すベり域＋分岐断層
小笠原村,（記載なし）,（記載なし）,19.7,ケース５四国沖～九州沖に大すベり域を設定
区部,５強,基本ケース、陸側ケース／東側ケース、経験的手法,2.2,ケース１駿河湾～紀伊半島沖に大すベり域を設定／ケース２紀伊半島沖に大すベり域を設定
