機関名,道路延長（ｋｍ）,備考１,備考２（橋）
都建設局,2230.5,橋梁,1200
都建設局,※,横断歩道,614
都建設局,※,人道橋,105
関東地方整備局,239.1,橋梁,253
関東地方整備局,※,横断歩道,244
東日本高速道路／中日本高速道路,80.8,東名高速道路、中央自動車道、関越自動車道、第三京浜道路、京葉道路、圏央道、八王子ＢＰ東京外かん自動車道,
首都高速道路,191.3,高架構造が全体の８割以上,
区市町村,21689.2,,
計,24430.9,,
