処理区名,計画面積（ｈａ）,主要河川水系,処理区域
芝浦処理区,6440,古川水系の全部、神田川右岸及び東京湾沿い,千代田・中央・港・新宿・渋谷区の大部、文京・品川・目黒・世田谷・豊島区の一部
三河島処理区,3936,神田川右岸の一部、神田川左岸,台東・荒川区の全部、文京・豊島区の大部、千代田・新宿・北区の一部
砂町処理区,6153,隅田川左岸、荒川右岸の一部並びに東京湾沿い,墨田・江東区の全部、中央・港・品川・足立・江戸川区の一部
小台処理区,1687,石神井川水系の下流及び荒川右岸の一部,北区の大部、豊島・板橋・足立区の一部
落合処理区,3506,神田川水系の上流部,中野区の大部、新宿・世田谷・渋谷・杉並・豊島・練馬区の一部
森ヶ崎処理区,14675,目黒川、多摩川両水系及び東京湾沿い,大田区の全部、品川・目黒・世田谷区の大部、渋谷・杉並区の一部
小菅処理区,1633,荒川左岸、中川右岸の一部,足立・葛飾区の一部
葛西処理区,4893,荒川、中川の左岸、江戸川右岸の一部,江戸川区の大部、葛飾区の一部
新河岸処理区,10474,石神井川水系の上流及び荒川右岸の一部,杉並・板橋・練馬区の大部、新宿・中野・豊島・北区の一部
中川処理区,4442,荒川左岸、江戸川右岸及び中川水系の一部,足立区の大部、葛飾区の一部
合計,57839,,
