町村名,島名,原因別建物全壊棟数計,原因別建物全壊棟数揺れ,原因別建物全壊棟数液状化,原因別建物全壊棟数急傾斜地崩壊等,原因別建物全壊棟数津波,原因別建物半壊棟数計,原因別建物半壊棟数揺れ,原因別建物半壊棟数液状化,原因別建物半壊棟数急傾斜地崩壊等,原因別建物半壊棟数津波
大島町,,41,0,0,31,10,159,65,0,41,53
利島村,,26,0,0,24,2,33,1,0,32,0
新島村,新島,758,0,0,22,736,195,5,0,20,170
新島村,式根島,15,0,0,2,13,13,2,0,3,8
神津島村,,219,0,0,42,177,75,8,0,49,18
三宅村,,74,0,0,1,73,33,0,0,1,32
御蔵島村,,0,0,0,0,0,0,0,0,0,0
八丈町,,3,0,0,0,3,8,0,0,0,8
青ケ島村,,0,0,0,0,0,0,0,0,0,0
小笠原村,父島,21,0,0,0,21,79,0,0,0,79
小笠原村,母島,0,0,0,0,0,4,0,0,0,4
島しょ部計,,1157,0,0,122,1035,599,81,0,146,372
