町村名,島名,高齢化率（％）,人口（人）
大島町,大島,31.7,8461
利島村,利島,20.3,341
新島村,新島,34.5,2351
新島村,式根島,※,532
神津島村,神津島,27.4,1889
三宅村,三宅島,35.3,2676
御蔵島村,御蔵島,13.8,348
八丈町,八丈島,32.1,8231
青ヶ島村,青ヶ島,10.5,201
小笠原村,父島,9.2,1880
小笠原村,母島,※,491
