処理区,施設名,計画排水量計画晴天時汚水（ｍ３／日）,計画排水量計画雨天時汚水（ｍ３／日）,計画排水量計画雨天時汚水（ｍ３／秒）,計画排水量計画雨水量（ｍ３／秒）,現有排水能力（ｍ３／分）,内訳汚水ポンプ（ｍ３／分）,内訳雨水ポンプ（ｍ３／分）,備考
芝浦,銭瓶町,371520,734400,,-,638,638,-,
芝浦,浜町,113700,296780,,23.9,2432,257,2175,
芝浦,箱崎,-,-,,14.673,1110,-,1110,
芝浦,汐留,-,-,,15.51,1116,-,1116,
芝浦,桜橋第二,280370,731460,,27.283,2400,-,2400,
芝浦,桜橋,-,-,,20.993,1320,-,1320,
芝浦,明石町,-,-,,14.725,1208,-,1208,
芝浦,芝浦,897700,2728170,,26.158,3745,1725,2020,
芝浦,品川埠頭,26440,50630,,-,10,10,-,
芝浦,天王洲,5790,15030,,-,15,15,-,
芝浦,汐留第二,19180,450230,,31.567,2280,-,2280,
芝浦,東品川,-,-,,20.8,1575,-,1575,
芝浦,芝浦（セ）,850000,,61.991,-,2520,2520,-,
芝浦,計,2564700,5006700,62.047,195.609,20369,5165,15204,
三河島,白鬚西,47870,143600,,20.829,1075,75,1000,
三河島,日本堤,-,-,,36.938,2540,-,2540,
三河島,山谷,-,-,,3.64,285,-,285,
三河島,和泉町,11920,21690,,-,27,27,-,
三河島,町屋,40950,102380,,9.539,799,99,700,
三河島,尾久,-,-,,54.931,1885,-,1885,
三河島,後楽,-,-,,14.499,1160,-,1160,
三河島,湯島,143600,358990,,-,420,420,-,
三河島,蔵前,-,344740,,87.188,4640,80,4560,
三河島,三河島（セ）,800000,,34.743,81.523,6637,1027,5610,
三河島,計,1044340,971400,34.743,309.087,19468,1728,17740,
砂町,木場,257820,444270,,17.735,1720,-,1720,
砂町,佃島,67820,104540,,14.986,1240,-,1240,
砂町,越中島,-,-,,2.328,226,-,226,
砂町,東雲,-,-,,13.3,1565,-,1565,
砂町,東雲南,28940,-,,-,50,50,-,
砂町,新砂,55640,-,,-,64,64,-,
砂町,新木場,1810,-,,-,7,7,-,
砂町,若洲,2330,-,,-,6,6,-,
砂町,江東,-,-,,70.365,1305,-,1305,
砂町,両国,-,-,,44.6,3540,-,3540,
砂町,大島,176520,423620,,22.631,1890,-,1890,
砂町,小松川,109640,273970,,31.5,1745,-,1745,
砂町,業平橋,-,-,,40,1654,114,1540,
砂町,吾嬬,20390,48990,,17.2,34,34,-,
砂町,吾嬬第二,-,-,,31.885,1950,-,1950,
砂町,隅田,29120,48730,,16.12,1200,-,1200,
砂町,千住,26090,45790,,17.053,1260,-,1260,
砂町,千住西,8900,-,,11.781,960,-,960,
砂町,豊洲,41300,-,,-,14,14,-,
砂町,有明北雨水,-,-,,13.369,1025,-,1025,
砂町,晴海,-,-,,6.026,500,-,500,
砂町,砂町（セ）,718000,,20.188,47.135,6510,2970,3540,
砂町,計,1544320,1389910,20.188,418.014,28465,3259,25206,
有明,台場その１,11840,11840,,-,18,18,-,
