トンネル,路線名,延長（ｍ）,通報・警報設備非常電話,通報・警報設備押ボタン式通報装置,通報・警報設備火災検知器,通報・警報設備警報表示板,通報・警報設備信号機,消火設備消火器箱,消火設備泡消火栓,消火設備水噴霧設備,避難誘導設備非常口（高速上扉）,その他設備ラジオ再放送,その他設備監視用テレビ,その他設備換気設備,その他設備消火水槽（ｔ）,その他設備水噴霧水槽（ｔ）
汐留,高速都心環状線,286,4,12,22,2,,12,12,,,有,18,有,19,
飯倉,高速都心環状線,109,1,9,,1,,10,2,,,有,,,69,
霞が関,高速都心環状線,781,16,16,75,2,有,30,30,有,2,有,43,有,145,145
千代田,高速都心環状線・高速４号新宿線,1900,40,40,117,4,有,76,79,有,6,有,81,有,51,265
北の丸,高速都心環状線,186,2,4,,2,有,8,,,,有,,,,
飛鳥山,高速中央環状線,４８２（内）／７４５（外）,21,29,60,2,有,29,27,有,6,有,16,有,303,消火兼用
山手,高速中央環状線,9735,248,525,1040,4,有,525,５１／９,有,78,有,341,有,1264,消火兼用
八重洲,高速八重洲線,1400,33,61,116,2,有,71,61,有,10,有,45,有,190,199
羽田,高速１号羽田線,303,4,10,24,2,,10,10,,2,有,15,有,60,
青山,高速３号渋谷線,103,,,,,,4,,,,有,,,,
赤坂,高速４号新宿線,528,6,24,43,2,有,24,24,,1,有,25,有,20,
信濃町,高速４号新宿線,108,,4,,2,有,2,,,,有,,,,
代々木,高速４号新宿線,96,,,,,,4,,,,有,,,,
多摩川,高速湾岸線,2170,47,90,185,2,有,178,90,有,68,有,46,有,379,消火兼用
空港南,高速湾岸線,250,6,10,20,2,有,18,,,,有,8,,,
空港北,高速湾岸線,1353,42,60,118,4,有,118,60,有,18,有,34,有,265,消火兼用
東京港,高速湾岸線,1325,58,118,114,5,有,120,58,有,47,有,25,有,200,130
