区分１,区分２,区分３,冬・昼間,冬・深夜
建物被害（棟）,建物全壊棟数ケース別,南海トラフ（１）,1175,1175
建物被害（棟）,建物全壊棟数ケース別,南海トラフ（２）,263,263
建物被害（棟）,建物全壊棟数ケース別,南海トラフ（５）,372,372
建物被害（棟）,建物全壊棟数ケース別,南海トラフ（６）,1282,1282
建物被害（棟）,建物全壊棟数ケース別,南海トラフ（８）,1157,1157
人的被害（人）,死者数ケース別,南海トラフ（１）,1302,1714
人的被害（人）,死者数ケース別,南海トラフ（２）,78,96
人的被害（人）,死者数ケース別,南海トラフ（５）,109,172
人的被害（人）,死者数ケース別,南海トラフ（６）,1332,1774
人的被害（人）,死者数ケース別,南海トラフ（８）,1192,1749
