路線名,区間,延長（ｋｍ）,車線数,使用開始日,連絡道路,連絡位置,摘要
東名高速道路,世田谷区玉川瀬田町～世田谷区宇奈根町,3.9,6,昭43.4.25,環状８号高速３号,世田谷区玉川瀬田町,
中央自動車道,世田谷区高井戸～八王子市裏高尾町,39.7,4,昭43.12.20,一般国道２０号／一般国道１６号／首都高速４号,調布市国立市八王子市,
関越自動車道,練馬区三原台～清瀬市下宿,4.18,4,昭46.12.20,放射７号,練馬区三原台,延長の４．１８ｋｍは埼玉県新座市の４．３ｋｍを除く
第三京浜道路,世田谷区上野毛～世田谷区野毛,0.63,4,昭39.10.6,放射８号,世田谷区上野毛,
京葉道路,江戸川区一之江～江戸川区下篠崎町,3.03,6,昭35.4.29,一般国道１４号高速７号,江戸川区一之江町,供用開始日は第一期、第二期、第三期と別れる
京葉道路,江戸川区一之江～江戸川区下篠崎町,※,※,昭41.4.9,一般国道１４号高速７号,江戸川区一之江町,供用開始日は第一期、第二期、第三期と別れる
京葉道路,江戸川区一之江～江戸川区下篠崎町,※,※,昭44.4.25,一般国道１４号高速７号,江戸川区一之江町,供用開始日は第一期、第二期、第三期と別れる
東京外環自動車道,練馬区大泉町内,1.33,6,平6.3.30,放射７号,練馬区大泉町,
圏央道,青梅市今井,0.3,4,平8.3.26,一般国道１６号（主要地方道瑞穂富岡線）,青梅市日ノ出町,
圏央道,青梅市今井～日の出町平井,8.7,4,平13.3.29,一般国道４１１号（都道奥多摩あきる野線）,青梅市日ノ出町,
圏央道,八王子市裏高尾町～あきる野市牛沼,9.2,4,平19.6.23,一般国道４１１号,あきる野市八王子市,
圏央道,八王子市南淺川町～八王子市裏高尾町,2.0,4,平24.3.25,一般国道２０号一般国道２０号ＢＰ,八王子市,
八王子ＢＰ,町田市相原～八王子市打越,4.5,4,昭60.10.31,一般国道１６号,町田市八王子市,
