区市町村名,混成率（％）木造,混成率（％）防火,混成率（％）準耐,混成率（％）耐火
千代田区,1.1,3.6,1.7,93.6
中央区,1.0,7.8,3.2,88.1
港区,2.4,9.2,6.0,82.4
新宿区,1.7,24.0,8.1,66.1
文京区,2.9,28.7,9.3,59.2
台東区,4.7,27.2,10.1,58.0
墨田区,3.3,30.4,21.7,44.6
江東区,1.3,16.2,22.9,59.5
品川区,3.0,34.9,11.1,51.1
目黒区,3.6,31.6,17.0,47.8
大田区,5.9,33.7,19.3,41.1
世田谷区,5.4,42.0,17.1,35.5
渋谷区,1.5,22.6,7.3,68.7
中野区,6.0,45.1,13.4,35.5
杉並区,6.5,49.5,16.6,27.4
豊島区,2.9,30.4,15.2,51.5
北区,2.7,39.0,13.1,45.2
荒川区,3.7,36.9,23.0,36.4
板橋区,4.5,35.2,18.5,41.8
練馬区,10.0,47.1,10.6,32.3
足立区,5.3,40.6,17.8,36.3
葛飾区,6.1,41.5,16.9,35.6
江戸川区,6.0,35.7,27.2,31.0
中央防波堤,0.0,4.3,20.1,75.6
特別区小計,4.7,34.4,15.6,45.2
八王子市,11.5,46.1,14.1,28.3
立川市,7.1,33.8,20.3,38.7
武蔵野市,6.7,43.4,11.0,38.9
三鷹市,9.2,46.1,15.3,29.4
青梅市,15.8,47.4,18.1,18.6
府中市,8.6,39.4,16.5,35.5
昭島市,9.0,29.2,20.6,41.3
調布市,7.6,43.9,12.3,36.2
町田市,8.8,48.8,20.5,21.9
小金井市,9.3,53.6,10.2,27.0
小平市,8.0,42.5,24.8,24.7
日野市,6.6,47.8,18.1,27.5
東村山市,9.1,37.8,23.1,29.9
国分寺市,8.8,56.3,9.7,25.2
国立市,6.5,46.9,13.9,32.8
福生市,11.2,46.3,17.7,24.8
狛江市,12.4,52.7,10.0,24.8
東大和市,10.7,47.3,14.2,27.8
清瀬市,14.4,42.1,8.1,35.5
東久留米市,8.5,50.2,13.6,27.7
武蔵村山市,9.0,49.3,17.7,23.9
多摩市,3.9,33.8,12.7,49.5
稲城市,14.9,36.0,13.0,36.1
羽村市,9.2,35.1,30.5,25.2
あきる野市,19.4,52.4,12.9,15.2
西東京市,9.9,49.9,9.3,30.9
瑞穂町,13.0,33.7,27.8,25.4
日の出町,28.0,37.3,19.9,14.7
檜原村,61.5,23.0,8.4,7.2
奥多摩町,39.7,35.3,14.3,10.8
多摩地区小計,10.2,44.4,16.4,29.0
東京都合計,6.8,38.1,15.9,39.2
