高さ区分（軒高）（ｍ）,耐震（不明含む）Ｓ造,耐震（不明含む）ＲＣ造,耐震（不明含む）ＳＲＣ造,耐震（不明含む）不明,制振Ｓ造,制振ＲＣ造,制振ＳＲＣ造,制振不明,免震Ｓ造,免震ＲＣ造,免震ＳＲＣ造,総計
６０－１００未満,123,156,92,123,49,24,8,2,11,40,3,631
１００－１５０未満,75,54,27,35,34,25,15,,5,15,3,288
１５０－２００未満,18,15,4,3,29,17,3,1,1,3,1,95
２００－２５０未満,8,,,,9,1,1,1,,,,20
２５０以上,,,,,1,,,,,,,1
総計,224,225,123,161,122,67,27,4,17,58,7,1035
