機関名,現況１,現況２,現況３
日本郵便株式会社東京支社,日本郵便株式会社東京支社が受け持つ施設は、次のとおりである。,(平成２４年１０月１日現在)（局）,1495
ＮＴＴ東日本,電気通信業務を所掌する施設・設備は次のとおりである。,１交換機設備ビル数（ビル）,202
ＮＴＴ東日本,電気通信業務を所掌する施設・設備は次のとおりである。,２とう道（亘長）（平成２３年４月末）（ｋｍ）,260.8
ＮＴＴコミュニケーションズ,国内・国際電話等のサービスを提供する施設・設備は次のとおり,１交換機設備設置ビル数（都内）,3
ＮＴＴドコモ,電気通信業務を所掌する施設は、次のとおりである。,１交換機設備ビル数（ビル）,11
ＮＴＴドコモ,電気通信業務を所掌する施設は、次のとおりである。,２営業支店・営業所（ビル）,4
ＫＤＤＩ,国内・国際電話等の通信サービスを提供する通信施設を有する都内のビルは次のとおりである。,１交換機等を設置しているビル数：都内（地方にも設置）（ビル）,7
ソフトバンクモバイル／ソフトバンクテレコム,国内・国際電話等の通信サービスを提供する通信施設を有する都内のビルは次のとおりである。,１交換機等を設置しているビル数都内（ビル）,6
