建築物の種類１,建築物の種類２,耐震化率現状２２末（％）,耐震化率目標２７末（％）,耐震化率目標３２末（％）
住宅,,81.2,90,95
住宅,主な公共住宅,71.8,90,95
民間特定建築物,,82.3,90,95
民間特定建築物,大規模な百貨店、ホテル、劇場等,,100,-
防災上重要な公共建築物,,90.3,100,-
